Sample1,,
Wavelength (nm),Intensity (a.u.),
260,2.487677574,
261.0700073,2.499770164,
262,2.114106655,
263.0700073,2.017680645,
264,2.160963535,
265.0700073,2.321166754,
266,2.948421717,
267.0700073,3.876115561,
268,5.044932842,
269.0700073,6.553258896,
270,8.001211166,
270.9299927,8.831371307,
272.0299988,9.561150551,
272.9599915,10.46996784,
274.0599976,10.54924107,
275,10.19211197,
275.9299927,10.12359619,
277.0299988,9.263713837,
277.9599915,9.542243958,
279.0599976,9.526324272,
280,9.805596352,
281.0700073,10.23676682,
282,10.78876305,
283.0700073,11.59320164,
284,11.92037296,
285.0700073,13.34867001,
286,14.73692322,
287.0700073,15.91120434,
288,17.56620789,
289.0700073,19.14073372,
290,20.55327034,
290.9299927,22.26749039,
292.0299988,23.77702522,
292.9599915,25.12383461,
294.0599976,26.0445919,
295,27.15578842,
295.9299927,28.86190796,
297.0299988,29.2310524,
297.9599915,30.12017632,
299.0599976,31.37884331,
300,31.92523193,
301.0700073,32.37446213,
302,32.88534927,
303.0700073,33.35309601,
304,33.64859009,
305.0700073,33.29772568,
306,33.43973923,
307.0700073,33.43768311,
308,32.06659317,
309.0700073,33.00529861,
310,31.70859909,
311.0700073,31.76131821,
312,31.02645493,
313.0700073,29.83192062,
314,30.0439167,
315.0700073,29.1025219,
316,27.40120506,
317.0700073,26.78580856,
318,26.90309715,
319.0700073,25.87047386,
320,25.3512249,
321.0700073,24.57324982,
322,24.37325859,
323.0700073,23.21239281,
324,22.05044937,
325.0700073,22.09804153,
326,21.12145805,
327.0700073,20.41095924,
328,19.75728035,
329.0700073,18.83051491,
330,18.50081635,
331.0700073,18.22660065,
332,17.72807312,
333.0700073,17.69598961,
334,16.80542564,
335.0700073,16.75972176,
336,16.18350983,
337.0700073,15.46700096,
338,15.57504368,
339.0700073,14.2681818,
340,14.67980957,
341.0700073,14.59890938,
342,13.56633472,
343.0700073,13.69627476,
344,13.00912666,
345.0700073,12.76271057,
346,12.6775198,
347.0700073,12.34370232,
348,11.95634079,
349.0700073,11.61149216,
350,10.98228836,
351.0700073,11.16714764,
352,10.58399296,
353.0700073,10.73726559,
354,10.51223278,
355.0700073,10.3967371,
356,10.37042999,
357.0700073,10.18954754,
358,9.608328819,
359.0700073,9.511116982,
360,9.251656532,
361.0700073,9.017806053,
362,9.041953087,
363.0700073,8.718940735,
364,8.462206841,
365.0700073,8.360966682,
366,8.42276001,
367.0700073,7.735142231,
368,7.400961876,
369.0700073,7.71015358,
370,7.351433277,
371.0599976,7.754320145,
371.9599915,6.863581657,
373.0299988,7.329304218,
373.9299927,6.97546339,
375,6.923937798,
376.0599976,6.749596119,
376.9599915,6.538087368,
378.0299988,6.37934494,
378.9299927,6.178367138,
380,6.392693996,

