Sample1,,
Wavelength (nm),Intensity (a.u.),
260,3.941316128,
261.0700073,3.517326117,
262,3.366277218,
263.0700073,2.991338968,
264,2.949963093,
265.0700073,3.247164965,
266,3.540683746,
267.0700073,4.616120338,
268,5.643930435,
269.0700073,6.990155697,
270,8.134388924,
270.9299927,9.267930031,
272.0299988,9.982707024,
272.9599915,10.22227001,
274.0599976,10.00478745,
275,9.421657562,
275.9299927,9.378391266,
277.0299988,8.275724411,
277.9599915,7.975527287,
279.0599976,8.248706818,
280,8.347476006,
281.0700073,8.824827194,
282,9.060221672,
283.0700073,9.612117767,
284,10.86882114,
285.0700073,12.24777412,
286,13.49955368,
287.0700073,14.89497185,
288,16.68889809,
289.0700073,18.82761574,
290,20.3468914,
290.9299927,21.21979713,
292.0299988,22.89793205,
292.9599915,24.57627106,
294.0599976,25.85001373,
295,27.82166481,
295.9299927,28.74930382,
297.0299988,30.18374062,
297.9599915,30.93877602,
299.0599976,31.63812256,
300,32.75870514,
301.0700073,33.98970032,
302,34.08003616,
303.0700073,34.51649475,
304,34.59023285,
305.0700073,34.86298752,
306,34.90570068,
307.0700073,34.75785065,
308,34.34770584,
309.0700073,33.73067474,
310,33.68251801,
311.0700073,32.18546677,
312,32.01673126,
313.0700073,31.6278038,
314,30.62664795,
315.0700073,30.29389191,
316,29.24991989,
317.0700073,28.04555702,
318,27.18166161,
319.0700073,26.90207291,
320,26.32209778,
321.0700073,24.65527344,
322,24.22957993,
323.0700073,23.42600441,
324,22.62117004,
325.0700073,21.97346687,
326,21.45779419,
327.0700073,20.77646255,
328,19.83651161,
329.0700073,19.35946274,
330,18.99571609,
331.0700073,18.51196098,
332,17.93524933,
333.0700073,16.99167061,
334,16.74285889,
335.0700073,16.36751938,
336,15.94641209,
337.0700073,15.31735325,
338,14.8306551,
339.0700073,14.70056152,
340,13.87773323,
341.0700073,13.9630518,
342,13.09902477,
343.0700073,13.08411217,
344,12.76553535,
345.0700073,12.43209743,
346,12.38374233,
347.0700073,11.44538307,
348,11.47938442,
349.0700073,10.90230942,
350,10.738801,
351.0700073,10.78716278,
352,10.41708374,
353.0700073,10.34852409,
354,10.133008,
355.0700073,9.693119049,
356,9.85615921,
357.0700073,9.569764137,
358,9.890459061,
359.0700073,9.020591736,
360,9.206055641,
361.0700073,9.340760231,
362,9.12949276,
363.0700073,8.455073357,
364,8.156210899,
365.0700073,8.447867393,
366,7.932837009,
367.0700073,7.764555931,
368,7.613707066,
369.0700073,7.623952866,
370,7.58198595,
371.0599976,7.306595802,
371.9599915,7.425817966,
373.0299988,6.933408737,
373.9299927,7.148601532,
375,6.782351971,
376.0599976,7.047862053,
376.9599915,6.497414112,
378.0299988,6.680872917,
378.9299927,6.104065418,
380,6.489029408,

