Sample1,,
Wavelength (nm),Intensity (a.u.),
260,2.525087833,
261.0700073,2.48198247,
262,2.109148502,
263.0700073,2.177750349,
264,2.331395149,
265.0700073,2.650979519,
266,3.135299444,
267.0700073,3.717053413,
268,5.162514687,
269.0700073,6.563702583,
270,8.375840187,
270.9299927,8.985154152,
272.0299988,9.616440773,
272.9599915,9.778687477,
274.0599976,9.595384598,
275,9.518526077,
275.9299927,9.513139725,
277.0299988,8.817472458,
277.9599915,8.529052734,
279.0599976,8.386106491,
280,8.83006382,
281.0700073,9.524091721,
282,9.975111961,
283.0700073,10.77922344,
284,12.17661953,
285.0700073,12.91283131,
286,14.82141781,
287.0700073,16.01370239,
288,17.87362289,
289.0700073,19.91958618,
290,20.77409363,
290.9299927,22.79431725,
292.0299988,24.56442451,
292.9599915,26.10824776,
294.0599976,27.19012451,
295,29.19177818,
295.9299927,30.09523773,
297.0299988,31.56531143,
297.9599915,32.51433563,
299.0599976,33.177845,
300,34.39208603,
301.0700073,34.65458298,
302,35.24837875,
303.0700073,35.81654358,
304,35.96256256,
305.0700073,35.65404892,
306,34.61261368,
307.0700073,35.89993286,
308,35.30085373,
309.0700073,34.44829559,
310,34.19486618,
311.0700073,33.20746994,
312,32.76573181,
313.0700073,31.84454918,
314,31.59448051,
315.0700073,31.25906372,
316,30.13507462,
317.0700073,28.89354706,
318,28.50012779,
319.0700073,27.74338722,
320,26.59685898,
321.0700073,25.7862587,
322,25.01424599,
323.0700073,24.42861176,
324,23.98124123,
325.0700073,22.49916267,
326,21.71444511,
327.0700073,21.38324547,
328,21.01144409,
329.0700073,20.24942589,
330,19.55372238,
331.0700073,18.70744705,
332,18.65035439,
333.0700073,18.53128433,
334,17.79496956,
335.0700073,16.77980042,
336,16.62703323,
337.0700073,16.46399879,
338,15.54409313,
339.0700073,15.55634117,
340,14.78117943,
341.0700073,14.10376263,
342,14.24685287,
343.0700073,13.48503971,
344,13.71779633,
345.0700073,12.77498245,
346,12.49751854,
347.0700073,12.1863451,
348,12.02366066,
349.0700073,11.62571526,
350,11.77859783,
351.0700073,11.38504791,
352,11.27975368,
353.0700073,10.91154575,
354,10.41852665,
355.0700073,10.5589819,
356,10.54435825,
357.0700073,10.05968857,
358,10.15238762,
359.0700073,9.481437683,
360,9.528510094,
361.0700073,9.444406509,
362,9.27147007,
363.0700073,8.806313515,
364,8.564121246,
365.0700073,8.443201065,
366,8.268076897,
367.0700073,8.123339653,
368,8.09869194,
369.0700073,7.733649254,
370,7.65786171,
371.0599976,7.603454113,
371.9599915,7.311850071,
373.0299988,7.480940819,
373.9299927,6.938278198,
375,7.049739361,
376.0599976,6.657749653,
376.9599915,6.549641132,
378.0299988,6.541432381,
378.9299927,6.642676353,
380,6.388715267,

