Sample1,,
Wavelength (nm),Intensity (a.u.),
260,2.731499195,
261.0700073,2.569620848,
262,2.358664989,
263.0700073,2.324273586,
264,2.452460051,
265.0700073,2.774694681,
266,3.194560766,
267.0700073,3.995175362,
268,5.075808525,
269.0700073,6.601005554,
270,7.811451912,
270.9299927,8.89727211,
272.0299988,9.564083099,
272.9599915,9.395059586,
274.0599976,9.761003494,
275,9.384206772,
275.9299927,8.641638756,
277.0299988,8.210561752,
277.9599915,7.825162411,
279.0599976,8.475838661,
280,8.266085625,
281.0700073,8.866228104,
282,9.401065826,
283.0700073,10.47156715,
284,11.45535088,
285.0700073,13.04774761,
286,14.53942204,
287.0700073,16.46749878,
288,18.57302475,
289.0700073,20.74296951,
290,22.99421692,
290.9299927,24.61068916,
292.0299988,26.10591698,
292.9599915,27.74098015,
294.0599976,29.94042587,
295,31.32021713,
295.9299927,32.82948685,
297.0299988,33.85187531,
297.9599915,36.00811768,
299.0599976,38.15550995,
300,38.36075211,
301.0700073,38.8158493,
302,39.08680725,
303.0700073,39.98671722,
304,39.27043533,
305.0700073,39.97480392,
306,39.73815155,
307.0700073,39.43347549,
308,39.40507507,
309.0700073,38.72527313,
310,38.90159988,
311.0700073,37.45672607,
312,36.94051743,
313.0700073,36.23999023,
314,34.66166687,
315.0700073,33.69470596,
316,32.41508865,
317.0700073,32.56726074,
318,31.11745262,
319.0700073,29.92971802,
320,29.32384682,
321.0700073,28.88677216,
322,27.9008522,
323.0700073,27.04338264,
324,26.08377647,
325.0700073,24.89874268,
326,24.39286995,
327.0700073,23.4791584,
328,22.769207,
329.0700073,21.75177956,
330,21.18196678,
331.0700073,20.68622398,
332,19.71225929,
333.0700073,19.65307617,
334,19.4536438,
335.0700073,18.08883286,
336,17.51160049,
337.0700073,17.09812546,
338,16.06316185,
339.0700073,16.11472321,
340,15.91527462,
341.0700073,15.2103529,
342,14.78330708,
343.0700073,14.41923904,
344,13.73691273,
345.0700073,14.09744358,
346,13.29921722,
347.0700073,13.03029728,
348,12.33486271,
349.0700073,12.53017521,
350,11.98987389,
351.0700073,11.64869118,
352,11.4707365,
353.0700073,11.31683254,
354,11.35846424,
355.0700073,10.88856125,
356,10.62073326,
357.0700073,10.46862221,
358,10.19480705,
359.0700073,10.38314629,
360,9.889286995,
361.0700073,9.771409988,
362,9.734065056,
363.0700073,9.302922249,
364,9.237829208,
365.0700073,8.846927643,
366,8.350997925,
367.0700073,8.241812706,
368,8.222783089,
369.0700073,7.735065937,
370,7.832153797,
371.0599976,7.936350822,
371.9599915,7.613415241,
373.0299988,7.627802372,
373.9299927,7.066894054,
375,7.302844048,
376.0599976,6.871323586,
376.9599915,6.902824402,
378.0299988,6.720748425,
378.9299927,7.087765217,
380,6.486227036,

