Sample1,,
Wavelength (nm),Intensity (a.u.),
260,3.005314827,
261.0700073,2.895496368,
262,2.596242428,
263.0700073,2.561904907,
264,2.564884901,
265.0700073,2.982666731,
266,3.18079114,
267.0700073,4.176280975,
268,5.460380077,
269.0700073,6.592141151,
270,8.043512344,
270.9299927,8.728051186,
272.0299988,9.270277023,
272.9599915,9.449298859,
274.0599976,9.712409973,
275,8.89349556,
275.9299927,8.8977108,
277.0299988,8.268749237,
277.9599915,8.228666306,
279.0599976,7.950061798,
280,8.125208855,
281.0700073,8.7706213,
282,9.294798851,
283.0700073,10.02360249,
284,11.05814934,
285.0700073,12.52821732,
286,14.20843601,
287.0700073,16.20212746,
288,18.39188766,
289.0700073,20.18702698,
290,22.35760498,
290.9299927,24.26368523,
292.0299988,26.68190765,
292.9599915,27.73866844,
294.0599976,30.18662834,
295,31.31435013,
295.9299927,33.2885437,
297.0299988,34.50930786,
297.9599915,35.5314064,
299.0599976,36.53683853,
300,37.76535416,
301.0700073,39.08750534,
302,39.31729507,
303.0700073,39.77830505,
304,40.08784866,
305.0700073,39.48527908,
306,40.14440155,
307.0700073,39.8878479,
308,39.05491257,
309.0700073,38.73890305,
310,38.86098862,
311.0700073,37.55636978,
312,37.01615143,
313.0700073,36.14636612,
314,35.49470901,
315.0700073,33.84576416,
316,32.6546936,
317.0700073,32.49538422,
318,31.42040634,
319.0700073,30.07941437,
320,29.31993866,
321.0700073,28.50019836,
322,27.60320663,
323.0700073,27.1649189,
324,25.82793236,
325.0700073,24.84421539,
326,24.04576111,
327.0700073,23.34234619,
328,22.51799583,
329.0700073,21.68578529,
330,21.66156387,
331.0700073,20.80704308,
332,19.47109032,
333.0700073,19.56864166,
334,18.68134117,
335.0700073,17.78395081,
336,17.11699486,
337.0700073,16.90244865,
338,16.62707901,
339.0700073,16.19576836,
340,15.67231464,
341.0700073,15.13352776,
342,14.56624889,
343.0700073,14.34979343,
344,13.58674335,
345.0700073,13.41764832,
346,12.91858864,
347.0700073,12.69722939,
348,12.61826515,
349.0700073,12.26829052,
350,11.81763268,
351.0700073,11.93014908,
352,11.50469875,
353.0700073,11.06279373,
354,10.7640686,
355.0700073,10.71327305,
356,10.44075489,
357.0700073,10.53347588,
358,10.16306496,
359.0700073,9.669354439,
360,9.740809441,
361.0700073,9.632543564,
362,9.277799606,
363.0700073,9.103718758,
364,9.061455727,
365.0700073,8.8914814,
366,8.552678108,
367.0700073,8.248485565,
368,8.116588593,
369.0700073,7.847938538,
370,7.881325722,
371.0599976,7.145430565,
371.9599915,7.284276962,
373.0299988,7.308477879,
373.9299927,7.288001537,
375,6.885953903,
376.0599976,6.768985271,
376.9599915,6.857188702,
378.0299988,6.228108406,
378.9299927,6.705620289,
380,6.14171505,

