Sample1,,
Wavelength (nm),Intensity (a.u.),
260,3.407408714,
261.0700073,3.120720625,
262,2.830954313,
263.0700073,2.703309536,
264,2.579267502,
265.0700073,3.043553591,
266,3.260265112,
267.0700073,4.338352203,
268,5.559185982,
269.0700073,6.864010811,
270,7.97382164,
270.9299927,9.399284363,
272.0299988,9.811240196,
272.9599915,10.20599174,
274.0599976,10.04500961,
275,8.952018738,
275.9299927,8.717858315,
277.0299988,8.388951302,
277.9599915,7.987926483,
279.0599976,7.845685959,
280,8.241893768,
281.0700073,8.577443123,
282,8.943802834,
283.0700073,9.816036224,
284,10.48590851,
285.0700073,11.99817181,
286,13.64004707,
287.0700073,15.11582661,
288,16.95374489,
289.0700073,18.90284348,
290,20.94225311,
290.9299927,22.90388489,
292.0299988,24.3387394,
292.9599915,25.56906891,
294.0599976,27.26035309,
295,28.17410469,
295.9299927,29.69091797,
297.0299988,30.84959602,
297.9599915,32.37178802,
299.0599976,33.06998444,
300,33.42678452,
301.0700073,35.13651276,
302,35.06252289,
303.0700073,36.18866348,
304,35.96459579,
305.0700073,35.3928299,
306,36.36777115,
307.0700073,35.61143875,
308,35.06085205,
309.0700073,34.74396515,
310,34.57676697,
311.0700073,33.73563004,
312,32.73316193,
313.0700073,32.18223572,
314,31.30225754,
315.0700073,30.91592026,
316,29.16207314,
317.0700073,28.87671661,
318,28.44173622,
319.0700073,27.34980774,
320,26.75733948,
321.0700073,25.51546669,
322,24.63267517,
323.0700073,23.60296822,
324,23.80428314,
325.0700073,22.74603462,
326,21.95288277,
327.0700073,21.44425392,
328,20.75197792,
329.0700073,19.73968697,
330,18.52182388,
331.0700073,19.02520561,
332,18.45273209,
333.0700073,17.72123718,
334,17.39049721,
335.0700073,16.41083717,
336,16.42751694,
337.0700073,15.71495438,
338,14.35453129,
339.0700073,14.58020115,
340,14.53110981,
341.0700073,13.95668602,
342,13.3598156,
343.0700073,13.39796829,
344,12.98363018,
345.0700073,12.60168266,
346,12.1600256,
347.0700073,11.86345005,
348,11.44174004,
349.0700073,10.71791935,
350,10.91529751,
351.0700073,10.91816425,
352,10.36885071,
353.0700073,9.903045654,
354,9.975715637,
355.0700073,9.984493256,
356,10.01729202,
357.0700073,9.467047691,
358,9.711155891,
359.0700073,9.745796204,
360,8.896866798,
361.0700073,8.671396255,
362,8.910550117,
363.0700073,8.69145298,
364,8.578612328,
365.0700073,8.233097076,
366,7.876077652,
367.0700073,7.748871803,
368,8.008709908,
369.0700073,7.546720028,
370,7.233237267,
371.0599976,7.36473608,
371.9599915,7.359967709,
373.0299988,7.260826111,
373.9299927,6.967415333,
375,6.826711655,
376.0599976,6.497765064,
376.9599915,6.516718864,
378.0299988,6.587341785,
378.9299927,6.209516525,
380,5.997209549,

