Sample1,,
Wavelength (nm),Intensity (a.u.),
260,1.848242879,
261.0700073,1.603595018,
262,1.428956628,
263.0700073,1.294809103,
264,1.418243766,
265.0700073,1.465180993,
266,1.925617218,
267.0700073,2.703226328,
268,3.804352999,
269.0700073,4.860995293,
270,5.935884476,
270.9299927,6.384952545,
272.0299988,6.491654873,
272.9599915,6.519077778,
274.0599976,5.759953976,
275,4.721572876,
275.9299927,4.05650425,
277.0299988,3.345695734,
277.9599915,2.674855232,
279.0599976,2.129053354,
280,1.787928581,
281.0700073,1.764666438,
282,1.694816709,
283.0700073,1.60477519,
284,1.79709208,
285.0700073,1.86047411,
286,1.710169196,
287.0700073,1.808248639,
288,2.113255262,
289.0700073,1.797907472,
290,1.915765285,
290.9299927,2.138831377,
292.0299988,2.074379921,
292.9599915,2.020142078,
294.0599976,1.855431676,
295,2.063973188,
295.9299927,2.208104134,
297.0299988,2.298340082,
297.9599915,2.633508205,
299.0599976,2.324092627,
300,2.377928257,
301.0700073,2.538784266,
302,2.335352898,
303.0700073,2.479869366,
304,2.743375301,
305.0700073,2.772977114,
306,2.667094469,
307.0700073,2.856942415,
308,2.67121172,
309.0700073,2.711268902,
310,2.807302952,
311.0700073,2.934513569,
312,2.87713027,
313.0700073,2.670725107,
314,2.783889771,
315.0700073,2.955071211,
316,2.964319944,
317.0700073,2.806277275,
318,2.955761671,
319.0700073,2.899068594,
320,3.104940891,
321.0700073,2.955763817,
322,3.008002043,
323.0700073,2.748924971,
324,2.990945339,
325.0700073,2.879827976,
326,2.96724081,
327.0700073,2.686406612,
328,2.844820499,
329.0700073,2.610966206,
330,2.777581453,
331.0700073,2.814382792,
332,2.64287734,
333.0700073,2.664883137,
334,2.885605574,
335.0700073,2.705893517,
336,2.752228022,
337.0700073,2.784107924,
338,2.707344294,
339.0700073,2.540076256,
340,2.635681152,
341.0700073,2.525485754,
342,2.628483772,
343.0700073,2.486233473,
344,2.402094126,
345.0700073,2.438551426,
346,2.337068558,
347.0700073,2.304430485,
348,2.369212389,
349.0700073,2.277353525,
350,2.307716608,
351.0700073,2.284162521,
352,2.042942762,
353.0700073,2.084715366,
354,2.279570818,
355.0700073,2.229876041,
356,2.058132172,
357.0700073,2.070731163,
358,1.994411707,
359.0700073,2.069507599,
360,1.931000233,
361.0700073,1.740506411,
362,1.893028259,
363.0700073,1.868053198,
364,2.208921909,
365.0700073,1.869101644,
366,1.802558422,
367.0700073,1.884239078,
368,1.77731967,
369.0700073,1.80093658,
370,1.817766428,
371.0599976,1.767711163,
371.9599915,1.725753188,
373.0299988,1.720639706,
373.9299927,1.761615038,
375,1.802018285,
376.0599976,1.737139344,
376.9599915,1.746878386,
378.0299988,1.808262944,
378.9299927,1.723003149,
380,1.633372307,

