Sample1,,
Wavelength (nm),Intensity (a.u.),
260,2.545400858,
261.0700073,2.366373539,
262,2.281968832,
263.0700073,2.256042242,
264,2.303668737,
265.0700073,2.51635623,
266,2.755673409,
267.0700073,4.045362473,
268,5.224809647,
269.0700073,6.715622902,
270,8.254952431,
270.9299927,9.138643265,
272.0299988,10.12597752,
272.9599915,10.09438038,
274.0599976,10.05251598,
275,9.780424118,
275.9299927,9.022761345,
277.0299988,8.904150009,
277.9599915,8.96113205,
279.0599976,8.506087303,
280,8.900259018,
281.0700073,9.144194603,
282,10.06521893,
283.0700073,10.46182919,
284,11.46472645,
285.0700073,13.26777554,
286,14.33427906,
287.0700073,16.25079918,
288,17.45052147,
289.0700073,19.82560539,
290,21.41348457,
290.9299927,22.62377739,
292.0299988,24.65007782,
292.9599915,26.01932144,
294.0599976,27.75079536,
295,29.29072762,
295.9299927,30.30602264,
297.0299988,31.72425842,
297.9599915,33.47338104,
299.0599976,33.98178864,
300,34.79772949,
301.0700073,35.91927719,
302,35.87884521,
303.0700073,36.94548798,
304,36.18859482,
305.0700073,36.30180359,
306,35.99772644,
307.0700073,36.57732773,
308,35.82017136,
309.0700073,35.33180618,
310,34.97108078,
311.0700073,34.57930374,
312,33.83206177,
313.0700073,32.89883804,
314,32.53119278,
315.0700073,31.19338417,
316,30.02269363,
317.0700073,29.04954529,
318,29.18184471,
319.0700073,27.63163185,
320,26.94046402,
321.0700073,25.81256485,
322,25.11539459,
323.0700073,24.340168,
324,24.12989235,
325.0700073,23.03385925,
326,22.18826294,
327.0700073,22.25918007,
328,21.11309242,
329.0700073,20.6113205,
330,20.37417984,
331.0700073,19.84807014,
332,19.00504684,
333.0700073,18.22290039,
334,17.87274551,
335.0700073,17.72071648,
336,16.96651649,
337.0700073,16.75648499,
338,15.60937786,
339.0700073,15.39940262,
340,14.97477722,
341.0700073,14.57521248,
342,13.83475304,
343.0700073,13.54474068,
344,13.39672756,
345.0700073,12.79557419,
346,13.13453388,
347.0700073,12.39519882,
348,12.3855114,
349.0700073,12.0647049,
350,11.8041153,
351.0700073,11.34325981,
352,10.9936409,
353.0700073,11.06657124,
354,10.36796761,
355.0700073,10.07473469,
356,9.84817028,
357.0700073,9.912827492,
358,10.03368092,
359.0700073,9.778075218,
360,9.850740433,
361.0700073,9.503738403,
362,9.101027489,
363.0700073,8.86797142,
364,8.736757278,
365.0700073,8.610098839,
366,8.404795647,
367.0700073,8.2296381,
368,7.893438339,
369.0700073,7.568964481,
370,7.643261909,
371.0599976,7.188366413,
371.9599915,7.427726746,
373.0299988,7.073769569,
373.9299927,7.060839176,
375,6.959024429,
376.0599976,6.903729916,
376.9599915,6.802787304,
378.0299988,6.650281906,
378.9299927,6.666015625,
380,6.348255634,

