Sample1,,
Wavelength (nm),Intensity (a.u.),
260,2.981012106,
261.0700073,2.776333332,
262,2.643368006,
263.0700073,2.708782434,
264,2.70408392,
265.0700073,2.934283018,
266,3.335016727,
267.0700073,4.317568779,
268,5.544929504,
269.0700073,6.834378242,
270,8.115445137,
270.9299927,9.247278214,
272.0299988,9.798084259,
272.9599915,9.999403,
274.0599976,9.607889175,
275,9.089707375,
275.9299927,8.709366798,
277.0299988,8.508917809,
277.9599915,8.481673241,
279.0599976,8.15233326,
280,8.688791275,
281.0700073,9.207428932,
282,9.494482994,
283.0700073,10.3496666,
284,11.33065033,
285.0700073,12.88122368,
286,14.21997547,
287.0700073,16.25453568,
288,18.20633888,
289.0700073,20.22801781,
290,21.91474915,
290.9299927,23.15032959,
292.0299988,25.64828491,
292.9599915,27.16180801,
294.0599976,28.31906128,
295,30.07482338,
295.9299927,31.36104012,
297.0299988,32.69848251,
297.9599915,34.17367554,
299.0599976,35.00101089,
300,36.34993362,
301.0700073,36.48801422,
302,37.65653229,
303.0700073,37.66302109,
304,38.20381165,
305.0700073,38.14741135,
306,38.47034836,
307.0700073,37.67137146,
308,37.23352432,
309.0700073,36.76660919,
310,36.4991684,
311.0700073,35.93306351,
312,34.99759293,
313.0700073,34.68096924,
314,34.21466446,
315.0700073,32.85512543,
316,31.9934597,
317.0700073,31.30525017,
318,30.61214638,
319.0700073,29.1312027,
320,28.8641243,
321.0700073,27.59118271,
322,26.53492546,
323.0700073,26.24105072,
324,24.79282761,
325.0700073,23.97553825,
326,22.95652199,
327.0700073,22.87687492,
328,21.81139183,
329.0700073,21.42202759,
330,20.36027908,
331.0700073,19.88174248,
332,19.70458031,
333.0700073,18.88539886,
334,18.78965187,
335.0700073,17.86013031,
336,17.02636528,
337.0700073,16.89772034,
338,16.68763924,
339.0700073,15.81158829,
340,15.39332962,
341.0700073,14.84406376,
342,14.60767174,
343.0700073,13.98511791,
344,13.72011375,
345.0700073,12.97622681,
346,13.04976368,
347.0700073,12.57096863,
348,12.37633324,
349.0700073,11.94245148,
350,11.81795311,
351.0700073,11.88729095,
352,11.37544727,
353.0700073,10.73378277,
354,11.19909859,
355.0700073,10.53554058,
356,10.98068142,
357.0700073,10.15018749,
358,10.23629665,
359.0700073,9.805654526,
360,9.943727493,
361.0700073,9.37025547,
362,9.788613319,
363.0700073,8.883964539,
364,8.637405396,
365.0700073,8.500320435,
366,8.394947052,
367.0700073,7.846805096,
368,7.923598289,
369.0700073,7.833622456,
370,7.739230633,
371.0599976,7.381254673,
371.9599915,7.383346081,
373.0299988,7.337630272,
373.9299927,7.282151222,
375,7.031839848,
376.0599976,6.837739468,
376.9599915,6.582968235,
378.0299988,6.649830818,
378.9299927,6.533689976,
380,6.414669037,

