Sample1,,
Wavelength (nm),Intensity (a.u.),
260,3.167484283,
261.0700073,2.946069241,
262,2.644649506,
263.0700073,2.449620962,
264,2.382275105,
265.0700073,2.878102303,
266,3.284920454,
267.0700073,4.174857616,
268,5.529280186,
269.0700073,6.567540169,
270,8.174945831,
270.9299927,8.948966026,
272.0299988,9.664834023,
272.9599915,9.863986015,
274.0599976,9.801664352,
275,8.918639183,
275.9299927,8.796477318,
277.0299988,8.208613396,
277.9599915,8.127006531,
279.0599976,8.079277992,
280,7.904638767,
281.0700073,8.463792801,
282,9.252815247,
283.0700073,10.0092783,
284,10.51356506,
285.0700073,11.73009205,
286,13.59174442,
287.0700073,15.57034397,
288,17.66319084,
289.0700073,19.02101898,
290,21.11966515,
290.9299927,23.14089775,
292.0299988,24.55299759,
292.9599915,26.0858593,
294.0599976,27.95513916,
295,28.37109566,
295.9299927,30.38301277,
297.0299988,32.38353348,
297.9599915,33.02425385,
299.0599976,33.92319107,
300,35.46601486,
301.0700073,36.230896,
302,36.63152695,
303.0700073,36.53740311,
304,37.35324478,
305.0700073,37.47743988,
306,36.36873245,
307.0700073,36.65326309,
308,36.25487137,
309.0700073,35.59410477,
310,35.05953598,
311.0700073,33.90579605,
312,34.15956879,
313.0700073,33.15781784,
314,32.93832779,
315.0700073,31.61599541,
316,30.43048286,
317.0700073,29.40421295,
318,28.69632339,
319.0700073,27.58506203,
320,27.15129662,
321.0700073,26.35810471,
322,25.06107712,
323.0700073,25.0831356,
324,24.03883553,
325.0700073,23.01990891,
326,22.44430351,
327.0700073,21.73913002,
328,20.89480591,
329.0700073,20.24454308,
330,20.11071777,
331.0700073,18.71040726,
332,18.45755386,
333.0700073,18.50804329,
334,17.42825127,
335.0700073,16.58577347,
336,16.70215225,
337.0700073,16.46951866,
338,15.50410748,
339.0700073,14.7503109,
340,14.56358624,
341.0700073,14.01264858,
342,13.73591328,
343.0700073,13.20105839,
344,12.85860538,
345.0700073,12.35974026,
346,12.48846436,
347.0700073,12.1074152,
348,11.74719524,
349.0700073,11.24526024,
350,11.3254528,
351.0700073,10.35215473,
352,10.76580334,
353.0700073,10.94871998,
354,10.49260902,
355.0700073,9.696180344,
356,9.920897484,
357.0700073,9.857891083,
358,9.600179672,
359.0700073,9.235752106,
360,9.358755112,
361.0700073,9.207975388,
362,9.062778473,
363.0700073,8.753155708,
364,8.942317963,
365.0700073,8.156474113,
366,8.193514824,
367.0700073,7.846968174,
368,8.026023865,
369.0700073,7.658157349,
370,7.45264864,
371.0599976,7.404486179,
371.9599915,7.202031136,
373.0299988,6.931297779,
373.9299927,6.851394653,
375,6.877231598,
376.0599976,6.701271534,
376.9599915,6.442057133,
378.0299988,6.289560318,
378.9299927,6.648215771,
380,6.258875847,

