Sample1,,
Wavelength (nm),Intensity (a.u.),
250,26.23124504,
250.9299927,27.25675011,
252.0299988,27.8694973,
252.9600067,28.95606995,
254.0599976,31.21892166,
255,32.19814301,
255.9299927,33.66814041,
257.0299988,35.99482727,
257.9599915,37.97235489,
259.0599976,40.96929932,
260,43.71923065,
260.9299927,45.45154953,
262.0299988,47.79833221,
262.9599915,48.6622467,
264.0599976,50.42864227,
265,52.0400238,
265.9299927,54.34199524,
267.0299988,55.49092484,
267.9599915,56.86081696,
269.0599976,59.0810318,
270,61.70057678,
270.9299927,63.65186691,
272.0299988,66.21006012,
272.9599915,68.11204529,
274.0599976,70.39167786,
275,71.80410767,
275.9299927,72.39183044,
277.0299988,73.15499878,
277.9599915,72.13184357,
279.0599976,71.70655823,
280,69.17051697,
281.0700073,67.80541229,
282,66.53242493,
283.0700073,64.10790253,
284,62.16843796,
285.0700073,59.04951096,
286,55.6211853,
287.0700073,51.56964493,
288,46.49966812,
289.0700073,40.63865662,
290,34.59611511,
290.9299927,29.8302002,
292.0299988,23.71279335,
292.9599915,19.52563667,
294.0599976,14.22967911,
295,11.02351093,
295.9299927,8.973126411,
297.0299988,7.718142986,
297.9599915,6.804829121,
299.0599976,5.790754795,
300,5.254737377,
301.0700073,5.008583069,
302,4.879748821,
303.0700073,4.508113861,
304,4.491497993,
305.0700073,4.585496426,
306,4.15326643,
307.0700073,4.482517719,
308,4.858705997,
309.0700073,5.094650269,
310,5.383528709,

