Sample1,,
Wavelength (nm),Intensity (a.u.),
250,24.27782822,
250.9299927,25.98151207,
252.0299988,27.24481583,
252.9600067,29.15076256,
254.0599976,31.04436302,
255,31.99106789,
255.9299927,33.55146027,
257.0299988,35.4679718,
257.9599915,37.66093826,
259.0599976,41.42585754,
260,44.2525444,
260.9299927,45.50505447,
262.0299988,49.18071747,
262.9599915,50.66259766,
264.0599976,51.68580246,
265,54.6461792,
265.9299927,57.28655243,
267.0299988,59.5616188,
267.9599915,61.86817551,
269.0599976,65.24409485,
270,66.224617,
270.9299927,69.28572083,
272.0299988,72.31829834,
272.9599915,74.38710022,
274.0599976,77.19325256,
275,78.14241791,
275.9299927,78.95791626,
277.0299988,79.0570755,
277.9599915,78.55717468,
279.0599976,77.62494659,
280,74.67108917,
281.0700073,73.8366394,
282,72.03842163,
283.0700073,68.86489105,
284,65.92592621,
285.0700073,61.63680649,
286,58.00024414,
287.0700073,53.25783539,
288,48.7757988,
289.0700073,41.6092453,
290,35.63731003,
290.9299927,30.03383255,
292.0299988,23.87289619,
292.9599915,19.75816917,
294.0599976,14.37011814,
295,10.81476021,
295.9299927,9.114034653,
297.0299988,7.244955063,
297.9599915,6.61942482,
299.0599976,5.417750835,
300,4.882459641,
301.0700073,4.205270767,
302,3.749016762,
303.0700073,3.705163479,
304,3.357577562,
305.0700073,2.999808311,
306,2.835014343,
307.0700073,3.011451721,
308,2.91899085,
309.0700073,2.851674557,
310,3.183286428,

