Sample1,,
Wavelength (nm),Intensity (a.u.),
250,28.58284187,
250.9299927,29.14463806,
252.0299988,30.87158203,
252.9600067,31.79290962,
254.0599976,34.61998749,
255,36.33465958,
255.9299927,37.81491852,
257.0299988,40.58093643,
257.9599915,42.410923,
259.0599976,46.36746979,
260,49.00088882,
260.9299927,52.25553131,
262.0299988,55.2312851,
262.9599915,56.22527313,
264.0599976,59.62480164,
265,61.1742363,
265.9299927,64.12567139,
267.0299988,67.27738953,
267.9599915,69.06874847,
269.0599976,72.84954834,
270,74.80064392,
270.9299927,78.18001556,
272.0299988,80.97288513,
272.9599915,83.72104645,
274.0599976,86.33298492,
275,88.89928436,
275.9299927,90.04166412,
277.0299988,89.97354126,
277.9599915,89.39446259,
279.0599976,88.23205566,
280,84.51511383,
281.0700073,83.39264679,
282,81.03269196,
283.0700073,78.05127716,
284,74.68170166,
285.0700073,70.39646149,
286,66.08856964,
287.0700073,60.24448776,
288,54.33820724,
289.0700073,45.80205917,
290,38.63028336,
290.9299927,32.34152603,
292.0299988,25.7021904,
292.9599915,20.77083588,
294.0599976,15.45073414,
295,11.43348503,
295.9299927,9.682387352,
297.0299988,7.833595276,
297.9599915,6.492753029,
299.0599976,5.695014,
300,5.276431561,
301.0700073,4.792650223,
302,4.313698769,
303.0700073,4.064290047,
304,3.837224007,
305.0700073,3.666867495,
306,3.541011572,
307.0700073,3.25680995,
308,3.729560137,
309.0700073,3.768027306,
310,4.228287697,

