Sample1,,
Wavelength (nm),Intensity (a.u.),
250,24.75592422,
250.9299927,25.22813797,
252.0299988,27.25070953,
252.9600067,28.63286591,
254.0599976,29.60287857,
255,31.05311584,
255.9299927,32.61631012,
257.0299988,33.97950745,
257.9599915,36.26947784,
259.0599976,39.1620903,
260,41.46403885,
260.9299927,42.49671936,
262.0299988,45.101017,
262.9599915,47.40270233,
264.0599976,47.73736572,
265,49.19515228,
265.9299927,50.83509445,
267.0299988,53.49541473,
267.9599915,54.7428894,
269.0599976,56.17881012,
270,57.4344902,
270.9299927,60.16679382,
272.0299988,62.88023376,
272.9599915,64.61750793,
274.0599976,66.97814941,
275,68.23148346,
275.9299927,67.84343719,
277.0299988,68.26886749,
277.9599915,68.41969299,
279.0599976,67.26519012,
280,65.79714966,
281.0700073,64.80081177,
282,63.33324432,
283.0700073,61.8625145,
284,58.32701111,
285.0700073,56.14924622,
286,53.34651566,
287.0700073,49.98674774,
288,45.16531372,
289.0700073,38.96601105,
290,33.8200798,
290.9299927,29.18086052,
292.0299988,23.67370224,
292.9599915,18.82186317,
294.0599976,13.85861015,
295,10.57266426,
295.9299927,8.984096527,
297.0299988,7.535228252,
297.9599915,6.65284729,
299.0599976,5.812209129,
300,5.313733578,
301.0700073,4.999352932,
302,4.817642212,
303.0700073,4.476608276,
304,4.59693861,
305.0700073,4.141919136,
306,4.395736694,
307.0700073,4.590312004,
308,4.626175404,
309.0700073,4.994662285,
310,5.718977928,

