Sample1,,
Wavelength (nm),Intensity (a.u.),
250,25.61516571,
250.9299927,26.41653061,
252.0299988,27.83470917,
252.9600067,29.29339027,
254.0599976,31.52210236,
255,32.78394318,
255.9299927,35.49422836,
257.0299988,36.38705444,
257.9599915,39.18310928,
259.0599976,42.78779221,
260,44.70573425,
260.9299927,47.28171539,
262.0299988,50.14954758,
262.9599915,51.76707458,
264.0599976,54.80413437,
265,55.80472183,
265.9299927,57.87099075,
267.0299988,60.99615479,
267.9599915,64.12148285,
269.0599976,65.36095428,
270,68.45474243,
270.9299927,71.33023071,
272.0299988,74.06867218,
272.9599915,76.05444336,
274.0599976,78.6180191,
275,79.78956604,
275.9299927,80.33396912,
277.0299988,81.48106384,
277.9599915,80.93940735,
279.0599976,78.67752075,
280,75.69424438,
281.0700073,75.00379944,
282,73.19125366,
283.0700073,70.9028244,
284,67.89225769,
285.0700073,63.19426727,
286,59.36655045,
287.0700073,54.23348236,
288,49.22023773,
289.0700073,42.20059586,
290,35.5632019,
290.9299927,30.85366631,
292.0299988,24.61605072,
292.9599915,20.25145721,
294.0599976,14.66234303,
295,11.15800667,
295.9299927,9.282595634,
297.0299988,7.508068085,
297.9599915,6.688962936,
299.0599976,5.710026264,
300,4.97710228,
301.0700073,4.347234726,
302,4.148596764,
303.0700073,3.658737898,
304,3.430729151,
305.0700073,3.266493797,
306,3.081160307,
307.0700073,3.069854736,
308,3.084130287,
309.0700073,3.31170845,
310,3.083227873,

