Sample1,,
Wavelength (nm),Intensity (a.u.),
250,24.2289753,
250.9299927,25.50453568,
252.0299988,26.72870445,
252.9600067,28.09807205,
254.0599976,30.5462532,
255,31.40901756,
255.9299927,32.85137939,
257.0299988,35.08385086,
257.9599915,38.08033752,
259.0599976,40.42293549,
260,42.48473358,
260.9299927,44.78396606,
262.0299988,47.57148743,
262.9599915,49.51437759,
264.0599976,51.31471252,
265,53.21364212,
265.9299927,55.53796768,
267.0299988,58.23630524,
267.9599915,60.62197876,
269.0599976,61.69724274,
270,65.00025177,
270.9299927,67.76216888,
272.0299988,70.11585999,
272.9599915,72.39800262,
274.0599976,75.50978851,
275,76.52050781,
275.9299927,77.12531281,
277.0299988,77.63703918,
277.9599915,76.1213913,
279.0599976,76.1802597,
280,72.95572662,
281.0700073,71.62346649,
282,70.3105545,
283.0700073,67.14234161,
284,65.23296356,
285.0700073,61.57457352,
286,57.81419754,
287.0700073,51.9107132,
288,47.14145279,
289.0700073,40.81463623,
290,34.28067398,
290.9299927,29.42383194,
292.0299988,23.50614738,
292.9599915,19.90743446,
294.0599976,14.13764954,
295,11.35437965,
295.9299927,8.707966805,
297.0299988,7.401396275,
297.9599915,6.420463562,
299.0599976,5.669565678,
300,4.878955841,
301.0700073,4.334815502,
302,3.931337118,
303.0700073,3.692486048,
304,3.351113319,
305.0700073,3.357938766,
306,3.3331635,
307.0700073,3.195641994,
308,3.171001196,
309.0700073,3.456685781,
310,3.676804066,

