Sample1,,
Wavelength (nm),Intensity (a.u.),
250,27.02076721,
250.9299927,28.4410038,
252.0299988,29.72455597,
252.9600067,31.45306969,
254.0599976,33.06640625,
255,34.67642212,
255.9299927,36.15566635,
257.0299988,38.52237701,
257.9599915,41.01639938,
259.0599976,43.79899216,
260,46.35076904,
260.9299927,49.38225555,
262.0299988,50.86966705,
262.9599915,53.66867065,
264.0599976,55.56173706,
265,56.12244797,
265.9299927,58.52582932,
267.0299988,61.60403824,
267.9599915,62.77882385,
269.0599976,65.97650909,
270,67.51519012,
270.9299927,70.23501587,
272.0299988,74.07797241,
272.9599915,76.21125031,
274.0599976,78.11601257,
275,79.97625732,
275.9299927,81.01585388,
277.0299988,81.1563797,
277.9599915,80.93008423,
279.0599976,79.70465088,
280,76.90163422,
281.0700073,74.5306015,
282,73.23462677,
283.0700073,71.7406311,
284,68.40672302,
285.0700073,64.09262085,
286,61.57632065,
287.0700073,55.98805237,
288,50.44103241,
289.0700073,43.66661453,
290,36.92717743,
290.9299927,31.4806881,
292.0299988,24.88064957,
292.9599915,20.11144638,
294.0599976,14.77224255,
295,11.42832279,
295.9299927,9.086172104,
297.0299988,7.589305401,
297.9599915,6.876489162,
299.0599976,5.804994583,
300,5.374251842,
301.0700073,4.779555798,
302,4.579842091,
303.0700073,4.367869854,
304,3.89999032,
305.0700073,4.093459129,
306,4.128132343,
307.0700073,4.202020168,
308,4.173623085,
309.0700073,4.566209793,
310,4.956569672,

