Sample1,,
Wavelength (nm),Intensity (a.u.),
250,28.97328758,
250.9299927,29.91853333,
252.0299988,31.81807709,
252.9600067,33.45006943,
254.0599976,35.5447998,
255,37.75645447,
255.9299927,38.49410629,
257.0299988,41.44890213,
257.9599915,44.3256073,
259.0599976,47.76291656,
260,50.75758362,
260.9299927,52.87286758,
262.0299988,55.57618332,
262.9599915,58.29095459,
264.0599976,60.78977585,
265,62.50057983,
265.9299927,65.27776337,
267.0299988,68.14814758,
267.9599915,70.36472321,
269.0599976,73.64572906,
270,75.82329559,
270.9299927,78.99797058,
272.0299988,82.18336487,
272.9599915,85.00505829,
274.0599976,88.72294617,
275,89.74342346,
275.9299927,90.4339447,
277.0299988,90.50865936,
277.9599915,90.86603546,
279.0599976,89.2264328,
280,85.43199921,
281.0700073,83.9546814,
282,82.09250641,
283.0700073,79.07735443,
284,76.14867401,
285.0700073,71.33359528,
286,67.19658661,
287.0700073,61.49782181,
288,55.27718353,
289.0700073,46.77085114,
290,38.91703415,
290.9299927,33.23197174,
292.0299988,26.6499939,
292.9599915,21.76532555,
294.0599976,15.6980772,
295,11.99854946,
295.9299927,9.730520248,
297.0299988,7.95772028,
297.9599915,7.191912174,
299.0599976,6.233145237,
300,5.507175922,
301.0700073,5,
302,4.609708786,
303.0700073,4.417090416,
304,4.201133728,
305.0700073,4.129671574,
306,4.006903172,
307.0700073,4.014740467,
308,4.022019386,
309.0700073,4.164710522,
310,4.601783752,

