Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.950287342,
241.0700073,5.859186172,
242,6.012905598,
243.0700073,6.129155636,
244,6.528952122,
245.0700073,6.955276012,
246,7.419122219,
247.0700073,8.076745033,
248,8.980229378,
249.0700073,9.555678368,
250,9.940570831,
250.9299927,11.49021339,
252.0299988,12.88405514,
252.9600067,13.37907791,
254.0599976,15.58067799,
255,16.27431488,
255.9299927,16.78466797,
257.0299988,16.3309803,
257.9599915,15.9662571,
259.0599976,15.62565708,
260,14.61562729,
260.9299927,14.89319801,
262.0299988,14.43350601,
262.9599915,13.75875854,
264.0599976,12.82969856,
265,12.28541374,
265.9299927,11.99386024,
267.0299988,11.29998493,
267.9599915,10.07075787,
269.0599976,9.552761078,
270,8.9882164,

