Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.362502098,
241.0700073,5.259624958,
242,5.521003246,
243.0700073,5.464701653,
244,5.231361389,
245.0700073,5.726367474,
246,5.965882778,
247.0700073,6.374349594,
248,6.437890053,
249.0700073,7.198096752,
250,8.071173668,
250.9299927,8.803061485,
252.0299988,10.25981045,
252.9600067,11.30407619,
254.0599976,12.80688953,
255,13.45856285,
255.9299927,14.10344219,
257.0299988,13.61342716,
257.9599915,12.84093666,
259.0599976,13.02447224,
260,12.25119591,
260.9299927,11.92168808,
262.0299988,11.29045391,
262.9599915,11.08544636,
264.0599976,10.52098179,
265,10.22475338,
265.9299927,9.728569984,
267.0299988,9.732181549,
267.9599915,9.174713135,
269.0599976,8.907251358,
270,8.673469543,

