Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.041543484,
241.0700073,5.616048813,
242,5.180604935,
243.0700073,5.362010956,
244,5.190311432,
245.0700073,5.51953125,
246,5.784161091,
247.0700073,6.458954334,
248,6.921411991,
249.0700073,7.487114906,
250,7.800685406,
250.9299927,8.379741669,
252.0299988,10.03258228,
252.9600067,10.99760342,
254.0599976,12.92769337,
255,13.98174667,
255.9299927,13.48857975,
257.0299988,13.38132954,
257.9599915,13.09934521,
259.0599976,12.84518337,
260,12.01821899,
260.9299927,11.95952225,
262.0299988,11.86490536,
262.9599915,11.69151783,
264.0599976,10.63328552,
265,10.46025085,
265.9299927,9.98169136,
267.0299988,9.348682404,
267.9599915,8.728455544,
269.0599976,8.656025887,
270,8.454263687,

