Sample1,,
Wavelength (nm),Intensity (a.u.),
240,6.036416054,
241.0700073,6.398063183,
242,5.934491158,
243.0700073,6.627762318,
244,6.681493282,
245.0700073,7.025718689,
246,7.649776459,
247.0700073,8.12907505,
248,8.336717606,
249.0700073,9.26416111,
250,10.1345253,
250.9299927,11.40924549,
252.0299988,12.37985516,
252.9600067,13.74969101,
254.0599976,15.65351677,
255,16.1913414,
255.9299927,16.48744583,
257.0299988,16.4968071,
257.9599915,16.12828255,
259.0599976,15.48345184,
260,14.70497036,
260.9299927,14.51926994,
262.0299988,14.19832516,
262.9599915,13.52283478,
264.0599976,12.73290157,
265,11.78768635,
265.9299927,11.5863924,
267.0299988,10.91602325,
267.9599915,10.1326189,
269.0599976,9.584242821,
270,8.399904251,

