Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.694552422,
241.0700073,5.376211643,
242,5.526436806,
243.0700073,5.613152027,
244,5.487279892,
245.0700073,5.923956394,
246,6.234641552,
247.0700073,6.695138454,
248,7.402313709,
249.0700073,7.84616375,
250,8.712841034,
250.9299927,9.282144547,
252.0299988,10.56779575,
252.9600067,11.7565527,
254.0599976,13.92663097,
255,13.87769794,
255.9299927,14.77957821,
257.0299988,14.12791061,
257.9599915,13.85041523,
259.0599976,13.26830673,
260,12.73400879,
260.9299927,12.65335464,
262.0299988,11.75679874,
262.9599915,11.87816048,
264.0599976,10.80543804,
265,10.73278332,
265.9299927,10.51821899,
267.0299988,9.785152435,
267.9599915,9.665588379,
269.0599976,8.926021576,
270,8.475137711,

