Blank,,Sample3,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
400,0.06954199821,400,5.291588783,
401.0599976,0.1526230276,401.0599976,5.618921757,
401.9599915,0.07129108161,401.9599915,5.799384117,
403.0299988,0.05559879914,403.0299988,5.480077744,
403.9299927,0.1407499164,403.9299927,5.564643383,
405,0.0862577036,405,5.528501511,
406.0599976,0.08818601072,406.0599976,5.732364178,
406.9599915,0.2594220638,406.9599915,5.547242165,
408.0299988,0.07262796909,408.0299988,5.696991444,
408.9299927,0.08992400765,408.9299927,5.333688259,
410,0.07439590245,410,5.614740372,
411.0599976,-0.01461603679,411.0599976,5.423320293,
411.9599915,0.2412945479,411.9599915,5.471997261,
413.0299988,0,413.0299988,5.609238148,
413.9299927,0.07513938099,413.9299927,5.349457264,
415,0.1448498666,415,5.29092598,
416.0599976,-0.04470672458,416.0599976,5.316785336,
416.9599915,0.1548859477,416.9599915,5.442873001,
418.0299988,0.1454270482,418.0299988,5.432417393,
418.9299927,0.02919537388,418.9299927,5.30987072,
420,0.08522121608,420,5.619607449,
421.0599976,0.02889129519,421.0599976,5.199952602,
421.9599915,0.1602167338,421.9599915,5.604843616,
423.0299988,0.0574869588,423.0299988,5.605121136,
423.9299927,0.2160916179,423.9299927,5.514919281,
425,0.05878117308,425,5.13006258,
426.0599976,0.1889507473,426.0599976,5.225402355,
426.9599915,0.09828837961,426.9599915,5.318192959,
428.0299988,0.2392094135,428.0299988,5.436741829,
428.9299927,0.05963740498,428.9299927,5.310883045,
430,0.1299395114,430,5.208936214,
431.0599976,0.07208141685,431.0599976,5.241230965,
431.9599915,0.04316857457,431.9599915,5.254677296,
433.0299988,0.04465349019,433.0299988,5.340415478,
433.9299927,0.03010869212,433.9299927,5.088114738,
435,0.1353485286,435,5.253628254,
436.0599976,0.2407789081,436.0599976,5.048220634,
436.9599915,0.03067296371,436.9599915,4.948200703,
438.0299988,0.1197712347,438.0299988,4.81489563,
438.9299927,0.07454230636,438.9299927,4.867820263,
440,0,440,4.998146057,
441.0400085,0.1487077177,441.0400085,5.061017036,
441.9400024,0.2065170854,441.9400024,5.071668148,
442.980011,0.1466705799,442.980011,4.942004204,
444.019989,-0.0438602902,444.019989,4.856165409,
445.0700073,0.1348213553,445.0700073,5.012946129,
445.9700012,0.04394767061,445.9700012,4.963760376,
447.0100098,-0.02963402122,447.0100098,4.956794262,
448.0499878,0.07367134094,448.0499878,4.909294128,
448.9500122,0.1312106252,448.9500122,5.118343353,
450,0.1046869904,450,5.070214272,
451.0599976,0.1745073795,451.0599976,4.809503078,
451.9599915,0.1029154435,451.9599915,4.857606888,
453.0299988,0.05928385258,453.0299988,4.85640955,
453.9299927,0.116066508,453.9299927,4.577290535,
455,0.1729106605,455,4.832195282,
456.0599976,0.02972651646,456.0599976,4.716773033,
456.9599915,0.01490068715,456.9599915,4.721694946,
458.0299988,0.01454820577,458.0299988,4.848867416,
458.9299927,-0.07417847216,458.9299927,4.790025234,
460,0.2043497413,460,4.501420498,
461.0400085,0.04360655323,461.0400085,4.619576931,
461.9400024,0.05865102634,461.9400024,4.402561188,
462.980011,0.02937375195,462.980011,4.635875702,
464.019989,0.05874232575,464.019989,4.658732891,
465.0700073,0.2066115737,465.0700073,4.603206635,
465.9700012,0.07396012545,465.9700012,4.66857481,
467.0100098,0.1355360448,467.0100098,4.419228554,
468.0499878,0.2186939567,468.0499878,4.756558895,
468.9500122,0.05858574063,468.9500122,4.53564024,
470,0.07400172204,470,4.369620323,
471.0400085,0.05820467696,471.0400085,4.440561771,
471.9400024,0.1587347388,471.9400024,4.459050655,
472.980011,0.08785416186,472.980011,4.622292519,
474.019989,0.1020869464,474.019989,4.560173512,
475.0700073,-0.02948504314,475.0700073,4.434821606,
475.9700012,0.02926158346,475.9700012,4.368348598,
477.0100098,0.07232645154,477.0100098,4.387051582,
478.0499878,0.04377453402,478.0499878,4.313306808,
478.9500122,0.1030684933,478.9500122,4.216691017,
480,0.1774176955,480,4.366877556,
481.0400085,0.02936685085,481.0400085,4.405351162,
481.9400024,0.01492314506,481.9400024,4.23269558,
482.980011,0.01504800282,482.980011,4.399505138,
484.019989,0.06030362844,484.019989,4.408523083,
485.0700073,0.1827401817,485.0700073,4.542657375,
485.9700012,0.05929000303,485.9700012,4.577096939,
487.0100098,0.177957058,487.0100098,4.535653114,
488.0499878,0.1311226934,488.0499878,4.086737633,
488.9500122,0.01473296434,488.9500122,4.022872925,
490,0.1630668342,490,4.284340382,
491.0400085,-0.04381673038,491.0400085,4.450530529,
491.9400024,0.02894481644,491.9400024,3.987240553,
492.980011,0.2312940955,492.980011,4.374401569,
494.019989,0.2020785213,494.019989,4.565137386,
495.0700073,0.07314967364,495.0700073,4.755105019,
495.9700012,0.07288841903,495.9700012,4.266525745,
497.0100098,0.1160698757,497.0100098,4.377168655,
498.0499878,0.08846817166,498.0499878,4.297328472,
498.9500122,0.0877654925,498.9500122,4.417838097,
500,0.1859586984,500,4.107456684,
501.019989,0,501.019989,4.079153061,
502.0499878,0.04402829707,502.0499878,4.179895878,
502.9400024,-0.02917237952,502.9400024,4.186374664,
503.9700012,0.1513088197,503.9700012,4.024260521,
505,0.05931374058,505,4.238031387,
506.019989,0.1313887835,506.019989,4.060426235,
507.0499878,0.104505688,507.0499878,3.897892714,
507.9400024,0.07268498093,507.9400024,4.153609753,
508.9700012,0.01483701542,508.9700012,3.944060802,
510,0.1314079612,510,3.895946264,
511.0400085,-0.05853601545,511.0400085,4.003262043,
511.9400024,0.0602654703,511.9400024,4.10163784,
512.9799805,0.1204837412,512.9799805,4.042716503,
514.0200195,0.04535490274,514.0200195,4.004635334,
515.0700073,0.167180866,515.0700073,4.037508011,
515.9699707,0.1688981652,515.9699707,4.042228699,
