Blank,,Sample5,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
400,0.192101866,400,0.9840413928,
401.0599976,0.06921085715,401.0599976,0.9727626443,
401.9599915,0.1671728194,401.9599915,0.9724884033,
403.0299988,0.222348839,403.0299988,1.036844492,
403.9299927,0.08314510435,403.9299927,1.237497687,
405,0.08428741992,405,1.009503722,
406.0599976,0.07078142464,406.0599976,1.147271991,
406.9599915,0.2169385701,406.9599915,1.006989717,
408.0299988,0.08657883853,408.0299988,0.9205815792,
408.9299927,0.1780098528,408.9299927,1.010278463,
410,0.08835743368,410,0.885256052,
411.0599976,0.1052093655,411.0599976,1.099593878,
411.9599915,0.04366875812,411.9599915,0.99387604,
413.0299988,0.04384490475,413.0299988,1.056322455,
413.9299927,0.1022435203,413.9299927,0.7834746838,
415,0.16093871,415,1.001487494,
416.0599976,0.05813192949,416.0599976,0.9107875824,
416.9599915,0.1131541729,416.9599915,0.7631189227,
418.0299988,0.08656384796,418.0299988,0.9157372117,
418.9299927,0.07369305193,418.9299927,0.7591544986,
420,0.1300615668,420,0.8793399334,
421.0599976,0.1011619195,421.0599976,0.801851809,
421.9599915,0.04396441579,421.9599915,0.7718340158,
423.0299988,0.176294297,423.0299988,0.8199287653,
423.9299927,0.1592863947,423.9299927,0.8758550882,
425,-0.01468083914,425,0.8689138293,
426.0599976,0.147693038,426.0599976,0.9506707191,
426.9599915,0.02993743122,426.9599915,0.847949326,
428.0299988,0.04429678991,428.0299988,0.8275331855,
428.9299927,0.1006093994,428.9299927,0.7348663807,
430,0.1028746143,430,0.5914916396,
431.0599976,0.1599278897,431.0599976,0.8009672165,
431.9599915,0.1137640253,431.9599915,0.7616146207,
433.0299988,0.0146509409,433.0299988,0.867773056,
433.9299927,0.08791853487,433.9299927,0.8652168512,
435,0.09906875342,435,0.6936245561,
436.0599976,0.1031839624,436.0599976,0.6506181359,
436.9599915,0.04342791066,436.9599915,0.6499165297,
438.0299988,0.0578068085,438.0299988,0.6536422372,
438.9299927,0.09978901595,438.9299927,0.7873677611,
440,0.1277610511,440,0.7188439965,
441.0400085,0.1154717728,441.0400085,0.8793656826,
441.9400024,0,441.9400024,0.6154862642,
442.980011,0.07198594511,442.980011,0.6559332013,
444.019989,0.1157491133,444.019989,0.5467547178,
445.0700073,0.04346944019,445.0700073,0.7303186655,
445.9700012,0.1284448206,445.9700012,0.6532670856,
447.0100098,0.1166673973,447.0100098,0.7305691242,
448.0499878,0,448.0499878,0.6594526172,
448.9500122,0.01467308402,448.9500122,0.6635599732,
450,-0.02886669338,450,0.6094552875,
451.0599976,0.05768759549,451.0599976,0.6820979118,
451.9599915,0.1031413898,451.9599915,0.8261048794,
453.0299988,-0.0145734353,453.0299988,0.6539930701,
453.9299927,-0.01461112499,453.9299927,0.7271863818,
455,0.07281411439,455,0.748513937,
456.0599976,0.07350779325,456.0599976,0.6826343536,
456.9599915,0.1774596572,456.9599915,0.8157320023,
458.0299988,0.1637343317,458.0299988,0.7001948357,
458.9299927,0.0144327227,458.9299927,0.6209894419,
460,0.1591181904,460,0.7170242071,
461.0400085,0.07370609045,461.0400085,0.7751597762,
461.9400024,0.01477039419,461.9400024,0.8585814238,
462.980011,0.09046089649,462.980011,0.7446886301,
464.019989,0.03018458001,464.019989,0.8571718931,
465.0700073,0.01444752607,465.0700073,0.7595388889,
465.9700012,0.08964455873,465.9700012,0.6768289208,
467.0100098,0.1308995634,467.0100098,0.7886322141,
468.0499878,0.01461881399,468.0499878,0.8384942412,
468.9500122,0,468.9500122,0.8409819007,
470,0,470,0.8617919683,
471.0400085,-0.07277808338,471.0400085,0.8675102592,
471.9400024,0.02948330529,471.9400024,0.957924962,
472.980011,-0.01449233294,472.980011,0.9182736278,
474.019989,0,474.019989,1.055552125,
475.0700073,0.07407627255,475.0700073,1.331460595,
475.9700012,-0.02922353148,475.9700012,1.184500694,
477.0100098,0.08732862025,477.0100098,1.242364645,
478.0499878,0.05928296968,478.0499878,1.189537764,
478.9500122,0.01454545371,478.9500122,1.539070368,
480,0.1592379659,480,1.463567138,
481.0400085,0.05834475905,481.0400085,1.704993248,
481.9400024,0.02874306403,481.9400024,1.862197399,
482.980011,0.1336600482,482.980011,1.832865477,
484.019989,0.1161794439,484.019989,1.892527342,
485.0700073,0.09947420657,485.0700073,2.374466419,
485.9700012,0.04376623034,485.9700012,2.479350805,
487.0100098,-0.01459662244,487.0100098,2.500763416,
488.0499878,0.1466834843,488.0499878,2.829060555,
488.9500122,0.1738349348,488.9500122,3.269832373,
490,0.0875120312,490,3.500381708,
491.0400085,0.1172676608,491.0400085,3.669831753,
491.9400024,0.1158429757,491.9400024,4.075856209,
492.980011,0.1035028324,492.980011,4.427896023,
494.019989,0.12972413,494.019989,4.959917068,
495.0700073,0.2192597687,495.0700073,5.289698124,
495.9700012,0.07211989164,495.9700012,5.639181137,
497.0100098,0.1326709539,497.0100098,6.19748354,
498.0499878,0.07240605354,498.0499878,6.609366894,
498.9500122,0.1169265807,498.9500122,7.132958889,
500,0.07176999748,500,8.007013321,
501.019989,0.1730577946,501.019989,8.366939545,
502.0499878,0.01467286795,502.0499878,9.150136948,
502.9400024,0.1963716447,502.9400024,9.566983223,
503.9700012,0.07188349217,503.9700012,10.60013294,
505,0.07187832892,505,11.20111561,
506.019989,0.1764498353,506.019989,12.67036438,
507.0499878,0.104286164,507.0499878,13.49859428,
507.9400024,0.03011866845,507.9400024,14.62193108,
508.9700012,0.147693038,508.9700012,15.93094158,
510,0.1077088788,510,17.45555496,
511.0400085,0.07494004816,511.0400085,18.88694,
511.9400024,0.147390455,511.9400024,20.66550446,
512.9799805,0.0301850345,512.9799805,23.33562088,
