Blank,,Sample4,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
400,0.153682813,400,0.7515385747,
401.0599976,0.1547747999,401.0599976,0.7341003418,
401.9599915,0.1011502221,401.9599915,0.6815051436,
403.0299988,0.1695346236,403.0299988,0.7588852644,
403.9299927,0.1820320338,403.9299927,0.7304392457,
405,0.1262502372,405,0.7800762653,
406.0599976,0.1286063343,406.0599976,0.6918919086,
406.9599915,0.183429271,406.9599915,0.5072537661,
408.0299988,0.07082553953,408.0299988,0.6405004859,
408.9299927,0.1559509337,408.9299927,0.7252765894,
410,0.1280191243,410,0.6989216805,
411.0599976,0.1297484338,411.0599976,0.6887052655,
411.9599915,0.1573609114,411.9599915,0.6587898135,
413.0299988,0.05666444823,413.0299988,0.5736165047,
413.9299927,0.100879088,413.9299927,0.5014542341,
415,0.01444335375,415,0.6460226774,
416.0599976,0.1755797863,416.0599976,0.6506456733,
416.9599915,0.1865966171,416.9599915,0.4662548006,
418.0299988,0.05726065114,418.0299988,0.6468862891,
418.9299927,0.1283660382,418.9299927,0.3807961345,
420,0.2403200418,420,0.5777174234,
421.0599976,0.0434959121,421.0599976,0.5633636117,
421.9599915,0.1715118736,421.9599915,0.5802651644,
423.0299988,0.1164907143,423.0299988,0.5255781412,
423.9299927,0,423.9299927,0.5524284244,
425,0.05866651237,425,0.3914915621,
426.0599976,0.05964362994,426.0599976,0.4510993659,
426.9599915,0.1490446329,426.9599915,0.3957551718,
428.0299988,0.1028504297,428.0299988,0.5597702265,
428.9299927,0.08796880394,428.9299927,0.4975124598,
430,0.1464707851,430,0.435426265,
431.0599976,0.1624743342,431.0599976,0.4923540354,
431.9599915,-0.01475035027,431.9599915,0.4461587369,
433.0299988,0.1316328198,433.0299988,0.442230016,
433.9299927,0.1186116487,433.9299927,0.3349839747,
435,0.05816743523,435,0.2502760291,
436.0599976,0.1041232795,436.0599976,0.50126791,
436.9599915,0.02867753617,436.9599915,0.509632051,
438.0299988,0.1455434561,438.0299988,0.5622549057,
438.9299927,0.02905540913,438.9299927,0.4217752516,
440,0.08725495636,440,0.543653965,
441.0400085,0.07496701181,441.0400085,0.3533828855,
441.9400024,0.07462240756,441.9400024,0.5150921941,
442.980011,0.04372731596,442.980011,0.4701319337,
444.019989,0.1902782321,444.019989,0.3087826371,
445.0700073,0.1456536949,445.0700073,0.4841762483,
445.9700012,0.08724988252,445.9700012,0.4750311673,
447.0100098,0.2182707042,447.0100098,0.3479067385,
448.0499878,0.05851631612,448.0499878,0.4991997778,
448.9500122,0.02958361059,448.9500122,0.6026092768,
450,0.1476298124,450,0.4930394292,
451.0599976,-0.02961427346,451.0599976,0.5184648037,
451.9599915,0.08927774429,451.9599915,0.5052906871,
453.0299988,0.04491286725,453.0299988,0.4571192563,
453.9299927,0.06104074419,453.9299927,0.6322692633,
455,0.0753897652,455,0.6634428501,
456.0599976,0.1356586218,456.0599976,0.842260778,
456.9599915,0.05938242376,456.9599915,0.6134969592,
458.0299988,0.2258593887,458.0299988,0.6477923393,
458.9299927,0.07378766686,458.9299927,0.6399762034,
460,0.1950546205,460,0.5124601126,
461.0400085,0,461.0400085,0.6539444923,
461.9400024,0.1056029946,461.9400024,0.5625712276,
462.980011,0.1500149965,462.980011,0.6319347024,
464.019989,0.1474512964,464.019989,0.6700816154,
465.0700073,0.04437016323,465.0700073,0.6439432502,
465.9700012,0.1488073021,465.9700012,0.58759588,
467.0100098,0.07448013127,467.0100098,0.6247275472,
468.0499878,-0.06354956329,468.0499878,0.7199212313,
468.9500122,0.1510117799,468.9500122,0.5099736452,
470,0.04468009248,470,0.7433617711,
471.0400085,0.1618289649,471.0400085,0.727982223,
471.9400024,0.07342683524,471.9400024,0.6163057089,
472.980011,0.1482162178,472.980011,0.7201692462,
474.019989,0.102780953,474.019989,0.661327064,
475.0700073,0.1573093832,475.0700073,0.7739821076,
475.9700012,0.07352292538,475.9700012,0.8470491767,
477.0100098,0.1183957383,477.0100098,0.9354537129,
478.0499878,0.08913318068,478.0499878,0.8626391292,
478.9500122,0.2221136391,478.9500122,0.9081705213,
480,0.02906976826,480,0.8894981146,
481.0400085,0.058176741,481.0400085,0.9062815905,
481.9400024,0.05930494517,481.9400024,0.9611971974,
482.980011,0.1312603801,482.980011,1.093665719,
484.019989,0.02907526121,484.019989,1.137971759,
485.0700073,0.05769175291,485.0700073,1.148389339,
485.9700012,0.1177076399,485.9700012,1.098223209,
487.0100098,0.1172797009,487.0100098,1.316578627,
488.0499878,0.1040041596,488.0499878,1.367249131,
488.9500122,0.1632943898,488.9500122,1.292469621,
490,0.1050388664,490,1.427212119,
491.0400085,0,491.0400085,1.393288732,
491.9400024,0.1884576976,491.9400024,1.513960481,
492.980011,0.05793658644,492.980011,1.566063643,
494.019989,0.1191770807,494.019989,1.839523435,
495.0700073,0.1601211131,495.0700073,1.817222595,
495.9700012,0.08656259626,495.9700012,1.812353969,
497.0100098,0.1494991779,497.0100098,1.998933911,
498.0499878,0.1771034747,498.0499878,2.129362583,
498.9500122,0.09003061056,498.9500122,2.218372822,
500,0.1055870652,500,2.428005934,
501.019989,0.1328158379,501.019989,2.617562056,
502.0499878,0.1206727549,502.0499878,2.869081736,
502.9400024,0.08876921237,502.9400024,2.872216463,
503.9700012,0.1329708546,503.9700012,3.538041592,
505,-0.03005033359,505,3.669037819,
506.019989,0.1585814208,506.019989,3.704035759,
507.0499878,0.08701705188,507.0499878,3.837321281,
507.9400024,-0.04352872819,507.9400024,4.365889072,
508.9700012,0.07382252812,508.9700012,4.123838902,
510,0.02885503322,510,4.822015285,
511.0400085,-0.01428469364,511.0400085,4.930608749,
511.9400024,0.09999428689,511.9400024,4.702079296,
512.9799805,0.1734580249,512.9799805,5.041939735,
514.0200195,-0.01437070686,514.0200195,5.605711937,
515.0700073,0.02805796824,515.0700073,5.659293175,
515.9699707,0.01460152492,515.9699707,5.618801594,
517.0100098,0.1465673894,517.0100098,5.914972305,
518.0499878,0.04296086356,518.0499878,6.178262234,
518.9500122,0.01445755269,518.9500122,6.242489815,
520,0,520,7.080333233,
521.0200195,0.1157960296,521.0200195,7.283427238,
522.0499878,0.1037682742,522.0499878,7.827506542,
522.9400024,0.1732001603,522.9400024,8.138455391,
523.9699707,0.01473861095,523.9699707,8.672935486,
525,0.1487320513,525,8.80411911,
526.0200195,0.1322090626,526.0200195,9.368157387,
527.0499878,0.1037175283,527.0499878,10.22865772,
527.9400024,0.1508272886,527.9400024,10.69900131,
528.9699707,0.0301132258,528.9699707,11.38713169,
530,0.1321294904,530,12.25973129,
531.039978,-0.01485089678,531.039978,12.89785767,
531.9400024,0.1181491911,531.9400024,14.35779762,
532.9799805,0.08949746937,532.9799805,15.1709528,
534.0200195,0.08736167848,534.0200195,16.42728615,
535.0700073,0.1482315958,535.0700073,18.07315445,
535.9699707,0.1034309566,535.9699707,18.4353199,
537.0100098,0.1044635773,537.0100098,19.90974236,
538.0499878,0.07533070445,538.0499878,22.07110405,
538.9500122,0.0897263363,538.9500122,23.29372406,
540,0.1025656015,540,25.2237606,
541.0200195,0.02976456285,541.0200195,27.39904022,
542.0499878,0.1036683843,542.0499878,29.52051163,
542.9400024,0.1050577834,542.9400024,32.16094971,
543.9699707,0.1615034491,543.9699707,34.63248444,
545,0.05848038569,545,36.3962822,
546.0200195,0.1327688247,546.0200195,39.42904282,
547.0499878,0.1377937794,547.0499878,43.57623672,
547.9400024,0.1385681182,547.9400024,45.1114769,
548.9699707,0.07384651899,548.9699707,49.46607208,
550,0.234170109,550,53.43018341,
551.0200195,0.1538627297,551.0200195,57.79268646,
552.0499878,0.1178342029,552.0499878,61.70328522,
552.9400024,0.04552213848,552.9400024,66.30745697,
553.9699707,0.1624863297,553.9699707,70.95202637,
555,0.130675301,555,76.01269531,
556.0200195,0.1044183895,556.0200195,81.21101379,
557.0499878,0.05811250582,557.0499878,88.21496582,
557.9400024,0.07368110865,557.9400024,93.74906921,
558.9699707,0.1029063687,558.9699707,101.5538864,
560,0.0883756578,560,110.2551193,
561.0100098,0.1179210544,561.0100098,117.9216537,
562.0200195,0.07294691354,562.0200195,128.2902069,
