Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.250982761,
241.0700073,5.088300228,
242,4.996550083,
243.0700073,5.188001156,
244,5.308811665,
245.0700073,5.679643154,
246,6.026668072,
247.0700073,6.450102806,
248,6.273515701,
249.0700073,7.441819191,
250,8.059247971,
250.9299927,8.870802879,
252.0299988,9.788006783,
252.9600067,11.4034071,
254.0599976,12.7671423,
255,13.33797932,
255.9299927,13.6532011,
257.0299988,13.38212872,
257.9599915,13.25412178,
259.0599976,12.30145264,
260,12.01376057,
260.9299927,11.8489418,
262.0299988,11.431077,
262.9599915,11.00521851,
264.0599976,10.55701542,
265,10.02280903,
265.9299927,9.786907196,
267.0299988,9.569808006,
267.9599915,9.255149841,
269.0599976,9.04888916,
270,8.265213013,

