Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.426126957,
241.0700073,5.497478962,
242,5.229337692,
243.0700073,5.369045734,
244,5.733261585,
245.0700073,5.904778957,
246,6.084987164,
247.0700073,6.419400692,
248,6.80871582,
249.0700073,7.340931892,
250,7.93111515,
250.9299927,8.826375008,
252.0299988,9.963109016,
252.9600067,11.20148087,
254.0599976,13.42819786,
255,14.250144,
255.9299927,14.05962086,
257.0299988,13.78524113,
257.9599915,13.32150841,
259.0599976,12.64494801,
260,12.68290424,
260.9299927,12.22821045,
262.0299988,11.71166801,
262.9599915,11.32227039,
264.0599976,10.64491272,
265,10.50267029,
265.9299927,10.02520561,
267.0299988,9.961286545,
267.9599915,9.541130066,
269.0599976,8.914615631,
270,8.568212509,

