Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.413712025,
241.0700073,5.723711014,
242,5.565802097,
243.0700073,5.753869057,
244,5.612322807,
245.0700073,5.974813938,
246,6.383289814,
247.0700073,7.130937099,
248,7.367556572,
249.0700073,8.203061104,
250,8.934585571,
250.9299927,9.740987778,
252.0299988,11.56985092,
252.9600067,12.84928417,
254.0599976,13.74953556,
255,14.85240746,
255.9299927,15.12622833,
257.0299988,14.67636681,
257.9599915,14.36383057,
259.0599976,13.57403088,
260,12.99295712,
260.9299927,12.80699444,
262.0299988,12.80111408,
262.9599915,11.9286623,
264.0599976,11.35280037,
265,10.99662876,
265.9299927,10.78679085,
267.0299988,10.2293005,
267.9599915,9.947283745,
269.0599976,9.231284142,
270,8.921670914,

