Sample1,,
Wavelength (nm),Intensity (a.u.),
240,4.570956707,
241.0700073,4.921115398,
242,4.945399284,
243.0700073,4.999596119,
244,5.341061115,
245.0700073,5.55618763,
246,5.745006561,
247.0700073,6.171041489,
248,6.546565533,
249.0700073,7.189444542,
250,8.299585342,
250.9299927,9.001424789,
252.0299988,10.40187454,
252.9600067,11.07025433,
254.0599976,12.74665356,
255,13.4294405,
255.9299927,14.46659279,
257.0299988,13.60114574,
257.9599915,13.14219761,
259.0599976,12.84840488,
260,12.49421215,
260.9299927,12.24326229,
262.0299988,11.89175129,
262.9599915,11.11148643,
264.0599976,10.98479462,
265,10.13319016,
265.9299927,9.85569191,
267.0299988,9.503330231,
267.9599915,9.357538223,
269.0599976,9.170835495,
270,8.759123802,

