Sample1,,
Wavelength (nm),Intensity (a.u.),
250,27.02279472,
250.9299927,27.16876602,
252.0299988,28.59345436,
252.9600067,29.50921059,
254.0599976,32.00595474,
255,33.95563126,
255.9299927,35.26283264,
257.0299988,36.32687759,
257.9599915,39.05684662,
259.0599976,42.39292908,
260,44.91983414,
260.9299927,47.21392822,
262.0299988,49.14365768,
262.9599915,50.93291092,
264.0599976,52.63678741,
265,53.70064545,
265.9299927,56.93858719,
267.0299988,58.86959076,
267.9599915,60.51682281,
269.0599976,62.73505783,
270,64.30674744,
270.9299927,67.45157623,
272.0299988,69.57988739,
272.9599915,71.95615387,
274.0599976,74.17554474,
275,75.54662323,
275.9299927,76.2767868,
277.0299988,76.99082184,
277.9599915,77.13671112,
279.0599976,76.03918457,
280,73.54521942,
281.0700073,70.71528625,
282,70.20819092,
283.0700073,68.30592346,
284,64.71489716,
285.0700073,62.32920074,
286,58.43287277,
287.0700073,53.55518723,
288,49.02687073,
289.0700073,42.25409317,
290,36.70312119,
290.9299927,30.97485161,
292.0299988,24.72131348,
292.9599915,20.48517227,
294.0599976,15.10349655,
295,11.8956604,
295.9299927,9.634929657,
297.0299988,8.284231186,
297.9599915,7.361003399,
299.0599976,6.675643921,
300,6.175415039,
301.0700073,5.560139656,
302,5.763322353,
303.0700073,5.23873806,
304,5.312684059,
305.0700073,5.159332275,
306,5.02874279,
307.0700073,5.023728371,
308,5.511926174,
309.0700073,6.020872593,
310,6.377758026,

