Sample1,,
Wavelength (nm),Intensity (a.u.),
250,27.29196167,
250.9299927,28.51543236,
252.0299988,29.36084938,
252.9600067,30.82229996,
254.0599976,33.74971008,
255,34.23635864,
255.9299927,36.27633286,
257.0299988,38.13879013,
257.9599915,41.37743378,
259.0599976,45.41788101,
260,47.19538498,
260.9299927,49.79216385,
262.0299988,52.58467102,
262.9599915,54.93928528,
264.0599976,57.29308701,
265,59.10194397,
265.9299927,61.83072281,
267.0299988,64.33351898,
267.9599915,66.65123749,
269.0599976,70.05731964,
270,72.45545959,
270.9299927,74.89476013,
272.0299988,78.64112091,
272.9599915,81.91171265,
274.0599976,83.64877319,
275,84.89903259,
275.9299927,86.7140274,
277.0299988,87.19332886,
277.9599915,86.99949646,
279.0599976,83.8378067,
280,81.69591522,
281.0700073,80.23500824,
282,78.4327774,
283.0700073,75.6010437,
284,72.38903809,
285.0700073,68.1962204,
286,63.67853928,
287.0700073,58.35112,
288,52.16024399,
289.0700073,43.9416008,
290,37.05727005,
290.9299927,31.57961082,
292.0299988,25.28893661,
292.9599915,20.56988335,
294.0599976,14.45208168,
295,11.36509418,
295.9299927,9.51766777,
297.0299988,7.877675056,
297.9599915,6.461375237,
299.0599976,5.461443424,
300,4.817687511,
301.0700073,4.639261246,
302,4.107124329,
303.0700073,3.711554527,
304,3.593898535,
305.0700073,3.441039085,
306,3.449673414,
307.0700073,3.43705821,
308,3.793495178,
309.0700073,4.080848694,
310,4.401315689,

