Sample1,,
Wavelength (nm),Intensity (a.u.),
250,25.96608925,
250.9299927,27.68837929,
252.0299988,28.60301018,
252.9600067,30.08148384,
254.0599976,32.46081543,
255,33.91931152,
255.9299927,35.8631134,
257.0299988,37.63623047,
257.9599915,39.95537567,
259.0599976,44.68196106,
260,46.61077118,
260.9299927,48.94371033,
262.0299988,51.86802292,
262.9599915,53.31469727,
264.0599976,55.77508163,
265,57.38785553,
265.9299927,60.77148056,
267.0299988,62.58257294,
267.9599915,65.95449066,
269.0599976,67.32522583,
270,70.03751373,
270.9299927,73.08181,
272.0299988,75.91061401,
272.9599915,78.39444733,
274.0599976,80.9174118,
275,82.72033691,
275.9299927,83.66291046,
277.0299988,83.97647858,
277.9599915,83.86084747,
279.0599976,81.62737274,
280,79.67047119,
281.0700073,76.94746399,
282,74.8359375,
283.0700073,72.28507996,
284,69.95527649,
285.0700073,65.70280457,
286,61.6495018,
287.0700073,55.96720886,
288,50.96889114,
289.0700073,43.60688782,
290,36.48717499,
290.9299927,30.8778553,
292.0299988,24.7405777,
292.9599915,19.96975708,
294.0599976,14.62858963,
295,11.30110836,
295.9299927,9.356697083,
297.0299988,7.501950741,
297.9599915,6.544927597,
299.0599976,5.438039303,
300,4.85710144,
301.0700073,4.439814091,
302,4.125114918,
303.0700073,3.707007647,
304,3.484455109,
305.0700073,3.382768393,
306,3.357032061,
307.0700073,3.364162683,
308,3.316699028,
309.0700073,3.634379387,
310,3.985948801,

