 ,Area,Mean,Min,Max,Angle,Length
116,4.734,51124.795,42645.500,65535.000,-137.490,8.590
117,4.456,56313.953,47384.480,65535.000,-28.301,7.791
118,3.899,55880.800,47260.273,65535.000,-32.471,6.880
119,5.291,52944.276,43791.500,65535.000,-38.157,9.396
120,4.456,57938.306,48223.445,65535.000,-109.654,7.845
121,5.291,54943.973,42273.258,65535.000,19.440,9.513
122,4.456,55869.107,46235.719,65535.000,-36.870,7.916
123,5.012,53894.013,41463.082,65535.000,-45.000,8.955
124,3.620,53037.270,42634.168,65535.000,41.634,6.354
125,5.291,50146.807,36858.852,65535.000,-47.291,9.336
126,6.683,51126.299,44194.266,65535.000,-43.264,12.319
127,5.012,53838.809,45903.664,65535.000,45.000,8.955
128,3.899,54941.729,46613.836,65535.000,32.471,6.880
129,4.734,57090.529,42303.500,65535.000,-14.036,8.703
130,6.126,56183.832,47821.816,65535.000,25.346,11.094
131,6.126,54402.692,45571.469,65535.000,-35.218,10.981
132,4.177,54834.748,41386.988,65535.000,36.027,7.178
133,5.569,51804.948,41496.898,65535.000,42.879,10.082
134,4.734,52881.427,42233.898,65535.000,34.695,8.344
135,4.177,55808.229,44736.184,65535.000,68.962,7.350
136,4.177,57383.001,47665.715,65535.000,98.130,7.463
137,3.899,54259.190,46433.078,65535.000,51.340,6.758
138,7.240,55700.970,44550.750,65535.000,-14.036,13.055
139,4.456,53843.547,43234.121,65535.000,-36.870,7.916
140,3.620,54837.987,42651.582,65535.000,48.366,6.354
141,5.291,53901.704,44239.500,65535.000,-123.690,9.513
142,3.342,54630.380,43761.762,65535.000,-33.690,5.708
143,4.456,56312.550,44356.488,65535.000,-19.654,7.845
144,3.620,52367.628,40243.582,65535.000,-131.634,6.354
145,4.177,54165.698,42316.594,65535.000,-53.973,7.178
146,5.291,65535.000,65535.000,65535.000,-90.000,9.499
147,7.515,54800.179,42201.848,65535.000,-75.964,13.300
148,6.648,55851.792,45119.500,65535.000,-7.765,11.937
149,5.203,54477.267,42264.758,65535.000,-72.646,9.012
150,4.336,55574.819,44268.582,65535.000,-17.103,7.313
151,4.914,50886.266,40857.531,65535.000,-47.490,8.752
152,6.359,55957.695,45231.082,65535.000,-75.964,11.084
153,4.625,54634.416,44060.000,65535.000,-31.608,8.207
154,5.203,54916.151,42891.648,65535.000,-13.241,9.389
155,6.648,55510.931,41635.137,65535.000,-120.069,11.803
156,6.359,55174.983,41519.203,65535.000,-104.036,11.084
157,4.625,52219.147,43145.801,65535.000,-53.130,8.065
158,3.180,54525.472,43013.801,65535.000,-78.690,5.483
159,5.203,53178.176,36315.781,65535.000,20.556,9.187
160,3.758,65535.000,65535.000,65535.000,-90.000,6.452
161,4.914,51355.040,42201.523,63575.500,-62.650,8.777
162,4.914,45007.278,29807.875,58619.086,-38.660,8.606
163,4.675,50328.478,39457.332,65535.000,-47.726,8.036
164,5.259,53816.650,39191.773,65535.000,-28.072,9.189
165,4.091,54077.786,43246.066,65535.000,-67.380,7.027
166,5.551,51821.841,42051.426,65535.000,-45.000,9.938
167,4.091,54089.144,41534.770,65535.000,-61.390,6.773
168,4.091,52301.608,42022.590,65535.000,-32.471,7.048
169,5.844,44634.616,26713.236,64339.656,-83.991,10.327
170,4.675,48853.241,32775.750,65535.000,-95.711,8.149
171,5.844,50224.147,26108.297,65535.000,-97.696,10.091
172,4.383,53215.065,42144.449,65535.000,-33.690,7.796
173,3.214,55853.482,45951.500,65535.000,-5.711,5.432
174,4.967,54737.706,39964.500,65535.000,-29.745,8.716
175,4.091,52741.520,43264.230,65535.000,-57.529,7.048
176,4.091,54556.857,41690.539,65535.000,-77.005,7.212
177,5.551,52362.521,44559.500,65535.000,-51.843,9.624
178,3.798,56126.205,43695.500,65535.000,-85.236,6.509
179,5.551,56296.403,46890.109,65535.000,-77.471,9.967
