 ,Area,Mean,Min,Max,Angle,Length
1,5.325,65535.000,65535.000,65535.000,0.000,6.154
2,5.325,57001.444,42939.500,65535.000,-29.745,6.201
3,5.917,56709.086,46538.000,65535.000,-32.005,7.257
4,4.142,56262.381,43261.777,65535.000,-38.660,4.925
5,6.508,56359.097,48903.500,65535.000,-45.000,7.615
6,4.142,59227.381,53562.000,65535.000,-18.435,4.865
7,5.917,65535.000,65535.000,65535.000,0.000,6.923
8,7.691,53310.841,45119.188,65535.000,-50.194,9.011
9,4.142,45504.446,29735.834,54849.250,52.125,4.385
10,6.508,49541.509,42544.500,55227.250,-47.121,7.348
11,4.733,55170.442,40027.750,65535.000,-12.095,5.507
12,4.733,52403.080,45059.750,63173.930,-41.987,5.174
13,5.325,56610.556,43335.500,65535.000,-60.255,6.201
14,5.325,56433.917,44343.500,65535.000,-23.199,5.858
15,5.325,57262.222,45868.500,65535.000,-29.745,6.201
16,6.508,57070.346,48351.398,65535.000,11.310,7.844
17,3.550,65535.000,65535.000,65535.000,0.000,3.846
18,5.917,54583.679,41972.891,65535.000,-35.538,6.617
19,5.325,55221.278,45923.500,65535.000,-45.000,6.527
20,5.325,55539.872,48223.500,65535.000,50.194,6.008
21,6.508,49375.124,33837.641,65535.000,-36.870,7.692
22,4.733,56002.286,46746.246,65535.000,-56.310,5.547
23,5.325,54977.983,47557.500,65535.000,39.806,6.008
24,4.733,57326.644,45951.430,65535.000,15.945,5.600
25,6.508,57744.318,45411.500,65535.000,29.055,7.919
26,5.917,57905.900,49016.406,65535.000,69.444,6.572
27,7.691,54932.453,46463.500,65535.000,-65.556,9.294
28,7.100,55530.132,44822.543,65535.000,-27.759,8.258
29,5.917,52140.698,40725.000,65535.000,-118.072,6.538
30,5.917,47656.416,26304.000,65535.000,30.964,6.728
31,5.917,50965.954,43599.391,63132.391,-23.629,6.717
32,4.733,63973.062,53039.500,65535.000,0.000,5.000
33,5.917,44586.917,26016.000,65535.000,30.964,6.728
34,3.478,54379.627,43060.176,65535.000,-6.710,7.524
35,2.898,54276.534,39592.012,65535.000,17.103,5.979
36,3.091,55540.649,43417.078,65535.000,-74.055,6.400
37,2.512,55199.030,43551.473,65535.000,-19.983,5.145
38,2.512,52175.661,41729.500,65535.000,55.008,5.366
39,3.285,51803.522,41875.055,65535.000,-45.000,6.838
40,2.512,49891.628,34836.918,65535.000,41.634,5.293
41,2.319,54542.136,42291.816,65535.000,10.305,4.914
42,2.319,52583.756,39726.637,65535.000,-52.125,5.012
43,2.125,65535.000,65535.000,65535.000,0.000,4.396
44,3.478,53182.617,41973.672,65535.000,-59.036,7.689
45,3.285,53340.616,40539.500,65535.000,21.801,7.101
46,3.285,52395.099,43927.938,65535.000,39.806,6.866
47,1.932,56829.067,47572.668,65535.000,-18.435,4.170
48,1.932,54563.144,40992.703,65535.000,-20.556,3.756
49,2.319,52511.590,43572.355,65535.000,-45.000,4.973
50,1.932,56863.756,48660.777,65535.000,12.529,4.053
51,4.057,51144.699,39076.680,65535.000,63.435,8.846
52,3.091,55041.857,43417.121,65535.000,-23.199,6.695
53,3.285,50401.303,36004.297,65535.000,-37.569,7.209
54,2.705,53111.436,39387.895,65535.000,-18.435,5.560
55,2.898,53441.866,41865.980,65535.000,-53.973,5.979
56,2.705,53926.956,39822.824,65535.000,-22.620,5.714
57,2.319,50636.847,35757.051,65535.000,-52.125,5.012
58,4.057,47340.788,28057.400,65535.000,52.001,8.925
59,3.478,45608.743,26895.436,65535.000,33.232,7.620
60,6.183,50502.178,19962.793,65535.000,-21.631,13.713
61,2.319,48654.490,42369.773,59917.152,-37.405,4.703
62,2.705,53040.714,44023.500,63942.730,2.203,5.718
63,3.091,55346.967,43777.602,65535.000,-7.595,6.652
64,2.705,45606.617,32581.809,63835.395,-13.496,5.651
65,2.125,46566.671,33178.828,62868.570,-20.225,4.450
66,3.091,34219.579,23622.250,41585.102,46.397,6.374
67,2.319,48913.889,40683.695,65535.000,-37.405,4.703
68,2.512,51006.635,39943.500,65535.000,-82.875,5.316
69,2.898,42103.023,18514.133,62091.766,-8.427,5.999
70,2.898,52422.319,39382.355,65535.000,29.249,6.297
71,2.705,42132.882,18493.957,65535.000,-138.180,5.603
72,2.319,53686.543,37827.750,65535.000,-2.603,4.840
73,2.898,53632.702,43533.113,65535.000,36.027,5.979
74,2.319,50129.430,39720.312,65535.000,41.186,4.673
75,2.125,54354.936,35572.301,65535.000,29.055,4.526
76,2.125,65535.000,65535.000,65535.000,0.000,4.396
77,3.285,54921.353,39455.500,65535.000,14.036,7.249
78,1.546,65535.000,65535.000,65535.000,0.000,3.077
79,2.319,65535.000,65535.000,65535.000,0.000,4.835
80,2.125,54200.100,39295.500,65535.000,5.711,4.418
81,2.319,65535.000,65535.000,65535.000,0.000,4.835
82,2.512,54395.231,37991.500,65535.000,14.036,5.437
