 ,Area,Mean,Min,Max,Angle,Length
83,2.512,54273.179,39072.832,65535.000,-59.036,5.126
84,2.705,54580.769,42517.617,65535.000,4.399,5.731
85,2.512,54965.385,40431.500,65535.000,14.036,5.437
86,2.512,55956.769,40599.500,65535.000,14.036,5.437
87,1.932,53657.733,40106.223,65535.000,35.538,3.781
88,2.512,54144.820,43531.500,65535.000,24.444,5.311
89,2.319,54565.530,43608.184,65535.000,-95.194,4.855
90,2.898,65535.000,65535.000,65535.000,0.000,6.154
91,1.739,51963.038,41617.500,65535.000,-39.806,3.433
92,2.709,56786.308,45146.539,65535.000,-4.399,5.735
93,3.870,55237.455,41012.699,65535.000,68.749,8.495
94,2.902,55621.938,44024.570,65535.000,-4.086,6.174
95,2.709,54691.348,43539.770,65535.000,-61.390,5.512
96,3.289,55130.471,40287.500,65535.000,3.576,7.052
97,2.902,56784.752,46472.570,65535.000,8.130,6.221
98,2.128,65535.000,65535.000,65535.000,0.000,4.399
99,3.096,55434.567,42672.535,65535.000,7.595,6.657
100,3.289,55961.706,45942.438,65535.000,-3.576,7.052
101,2.902,52764.328,41609.938,65535.000,24.775,6.298
102,2.873,56153.743,47700.000,65535.000,-8.130,6.189
103,2.873,55944.691,44470.867,65535.000,17.103,5.953
104,2.490,56274.923,44575.500,65535.000,-85.236,5.270
105,2.490,54051.607,43567.500,65535.000,24.444,5.288
106,2.490,65535.000,65535.000,65535.000,-90.000,5.252
107,2.107,56286.937,45815.500,65535.000,5.711,4.398
108,2.490,55350.607,45039.500,65535.000,24.444,5.288
109,4.214,55097.462,44380.156,65535.000,-67.166,9.022
110,2.873,52611.659,45003.246,65535.000,-45.000,6.189
111,2.681,56679.247,42714.000,65535.000,18.435,5.536
112,2.873,55005.077,39308.418,65535.000,17.103,5.953
113,3.256,52727.835,43139.500,65535.000,-140.194,6.836
114,2.298,55381.576,44465.762,65535.000,33.690,4.734
115,2.490,55707.026,43175.500,65535.000,-4.764,5.270
116,3.639,53414.733,39139.500,65535.000,16.390,7.755
117,2.873,56023.915,46239.430,65535.000,8.130,6.189
118,2.873,55164.119,41021.215,65535.000,-30.256,6.080
119,2.490,55651.846,41935.500,65535.000,14.036,5.413
120,4.269,51312.268,36632.652,65535.000,29.055,9.071
121,3.299,56706.765,44511.500,65535.000,10.620,7.171
122,3.299,50241.930,36068.062,65535.000,26.565,6.895
123,4.464,49835.545,40783.062,65535.000,35.838,9.781
124,3.299,55852.882,42407.500,65535.000,-14.036,7.265
125,3.299,55423.126,44625.289,65535.000,-71.565,6.965
126,3.493,65535.000,65535.000,65535.000,0.000,7.489
127,3.493,54849.345,44030.496,65535.000,25.017,7.292
128,3.687,54097.236,42124.520,65535.000,19.440,7.942
129,2.523,56393.487,44335.500,65535.000,-94.764,5.305
130,4.464,54494.275,41917.676,65535.000,20.854,9.900
131,2.717,55539.539,42894.230,65535.000,-8.746,5.794
132,2.911,53232.965,41421.855,65535.000,24.775,6.307
133,2.329,53915.163,39931.016,65535.000,-21.801,4.745
134,2.911,51894.750,41195.855,65535.000,-33.690,6.353
135,5.046,53868.138,39968.762,65535.000,-92.291,11.022
136,2.523,51175.764,39959.500,65535.000,55.008,5.377
137,2.717,65535.000,65535.000,65535.000,0.000,5.727
138,3.105,56810.025,48857.000,65535.000,11.310,6.739
139,3.078,54765.706,38537.109,65535.000,-70.346,6.520
140,3.078,56200.825,47865.000,65535.000,-11.310,6.709
141,3.270,53600.855,39341.797,65535.000,37.569,7.194
142,3.463,56369.588,45025.352,65535.000,10.008,7.571
143,2.885,51582.623,35224.539,65535.000,36.027,5.966
144,3.270,56081.941,45207.500,65535.000,-7.125,7.072
145,3.847,55178.942,44839.844,65535.000,-6.009,8.379
146,3.078,53698.995,42019.742,65535.000,-15.945,6.386
147,3.270,54841.941,39649.500,65535.000,-14.931,6.809
148,2.693,52262.961,43997.992,65535.000,48.013,5.901
149,2.885,49441.208,36344.695,65535.000,39.289,6.234
150,1.924,65535.000,65535.000,65535.000,0.000,3.947
151,2.308,49398.879,34257.090,65535.000,2.603,4.830
152,2.501,55162.308,41111.500,65535.000,-9.462,5.336
153,3.078,65535.000,65535.000,65535.000,0.000,6.579
154,1.754,55489.000,43695.500,65535.000,-14.036,3.641
155,2.339,52611.061,40754.051,65535.000,-26.565,4.936
156,3.509,54368.438,42254.531,65535.000,-10.008,7.621
157,3.704,55082.182,45979.891,65535.000,-6.340,7.996
158,2.924,52961.677,42140.203,65535.000,-123.690,6.367
159,1.754,56011.000,42769.500,65535.000,-29.745,3.559
160,2.144,53773.960,42540.359,65535.000,-36.870,4.415
161,2.924,46526.873,31417.648,62595.152,-33.111,6.062
162,2.534,52718.279,38071.750,65535.000,-22.249,5.247
163,1.949,56298.422,48547.000,65535.000,-167.471,4.070
164,1.754,55252.667,41041.500,65535.000,-29.745,3.559
165,4.288,50402.686,32366.371,65535.000,4.185,9.075
166,2.339,50218.121,28803.408,65535.000,-7.765,4.901
167,2.339,39404.837,25188.029,56680.895,32.276,4.961
168,2.144,53604.186,41791.559,65535.000,-53.130,4.415
169,5.068,51820.565,42684.625,65535.000,-49.899,10.967
170,3.314,52772.393,39823.500,65535.000,39.806,6.896
171,3.509,65535.000,65535.000,65535.000,-90.000,7.506
172,2.924,54077.215,46253.203,65535.000,45.000,6.244
173,2.534,52773.474,39508.918,65535.000,-41.634,5.316
174,3.119,47531.745,38493.145,60687.102,-34.216,6.674
175,2.144,47031.782,36231.750,61274.301,-43.025,4.529
176,2.144,43111.814,36739.750,46853.898,0.000,4.194
