 ,Area,Mean,Min,Max,Angle,Length
1,5.022,58693.791,50564.641,65535.000,-23.199,8.533
2,5.335,49633.005,43347.055,54423.203,-45.000,8.715
3,5.022,56331.898,46772.832,64512.367,-13.134,8.629
4,4.394,54672.321,47244.496,65535.000,-41.987,7.537
5,4.394,59312.901,50205.000,65535.000,-98.746,7.369
6,6.905,50899.754,38663.191,65535.000,-43.025,11.495
7,4.394,54248.992,43585.059,65535.000,-116.565,7.516
8,6.277,56855.865,49427.609,65535.000,-57.995,10.570
9,4.708,55483.271,45799.367,65535.000,-53.973,7.620
10,3.766,65535.000,65535.000,65535.000,-90.000,6.162
11,3.766,56209.353,46909.539,65535.000,-63.435,6.263
12,3.452,57805.960,51262.281,65535.000,-53.130,5.602
13,4.418,57596.319,49103.301,65535.000,-108.435,7.106
14,4.103,59233.282,48687.500,65535.000,-30.964,6.552
15,4.418,56701.492,48471.195,65535.000,-28.610,7.039
16,4.734,56885.915,44575.684,65535.000,-72.897,7.641
17,5.365,59115.706,50071.500,65535.000,-10.620,9.145
18,4.418,59437.455,51148.555,65535.000,-71.565,7.106
19,5.050,58458.594,50022.621,65535.000,-70.346,8.352
20,4.734,55938.024,47700.121,65535.000,-39.289,7.985
21,3.787,54732.516,47067.488,65535.000,-48.814,5.972
22,4.418,54418.085,44023.816,65535.000,-41.987,7.558
23,3.787,56587.262,49100.473,65535.000,-56.310,6.077
24,3.787,57676.812,50139.594,65535.000,-63.435,6.281
25,5.050,58940.844,53642.168,65535.000,-30.964,8.190
26,5.681,60283.372,54376.383,65535.000,-28.072,9.551
27,5.365,59358.375,54203.500,65535.000,-45.000,8.739
28,4.734,60897.986,55429.070,65535.000,-17.103,7.641
29,5.997,55723.068,48431.668,65535.000,-55.408,9.895
30,4.734,56139.037,49551.750,65535.000,-39.289,7.985
