 ,Area,Mean,Min,Max,Angle,Length
53,5.081,56582.967,46121.309,65535.000,-98.746,7.923
54,4.355,57539.138,50992.688,65535.000,-45.000,6.815
55,4.718,55321.270,44382.250,65535.000,-138.366,7.254
56,4.355,55454.090,47459.957,65535.000,-45.000,6.815
57,4.718,55680.859,46124.918,65535.000,-131.634,7.254
58,5.443,56727.643,50610.430,65535.000,-45.000,8.519
59,5.806,57718.622,47545.078,65535.000,-74.055,8.771
60,4.718,57380.974,45935.500,65535.000,-9.462,7.329
61,5.443,65535.000,65535.000,65535.000,180.000,8.434
62,4.355,56613.110,46783.785,65535.000,-116.565,6.735
63,3.629,59097.867,52756.668,65535.000,-71.565,5.715
64,3.651,56611.133,46122.109,65535.000,-6.340,5.472
65,4.016,65535.000,65535.000,65535.000,-90.000,6.042
66,4.746,55768.739,45700.359,65535.000,19.983,7.072
67,5.476,52677.964,44495.500,65535.000,-50.711,8.588
68,3.651,56200.672,43551.500,65535.000,3.180,5.446
69,3.286,46012.191,36705.750,65535.000,17.354,5.064
70,4.016,56232.963,46985.203,65535.000,-62.103,5.811
71,4.016,65535.000,65535.000,65535.000,-90.000,6.042
72,4.746,57027.816,47868.805,65535.000,-70.017,7.072
73,5.841,51414.344,41949.777,65535.000,-42.274,8.983
74,4.746,57161.180,44982.168,65535.000,-59.036,7.046
75,5.841,52314.811,43988.891,65535.000,47.726,8.983
76,5.111,52148.351,39573.734,65535.000,-48.013,8.129
77,6.207,54201.744,42270.547,65535.000,-52.431,9.910
78,5.111,58283.362,51196.922,65535.000,-85.601,7.878
79,5.476,56569.671,47074.062,65535.000,-72.897,8.218
80,5.111,56251.714,46586.539,65535.000,4.399,7.878
81,6.207,57063.956,45569.500,65535.000,-14.931,9.380
82,5.111,54895.021,42713.262,65535.000,28.610,7.571
83,6.207,54426.849,44022.562,65535.000,-26.565,9.458
84,5.841,57088.390,48470.559,65535.000,-23.199,9.203
85,5.476,53365.273,41836.285,65535.000,-39.289,8.588
86,7.302,55250.878,42255.648,65535.000,21.251,11.670
87,6.937,52541.861,41501.223,65535.000,-32.347,10.728
88,4.016,54224.083,43680.625,65535.000,-57.095,6.117
89,4.381,45350.639,34378.812,56057.465,-117.759,6.487
90,5.841,52119.635,37142.500,65535.000,-99.462,9.188
91,3.651,50585.267,34229.168,65535.000,-30.964,5.285
92,5.111,42114.107,32617.850,49746.090,-155.376,7.976
93,6.572,53301.240,43122.852,65535.000,17.354,10.129
94,4.016,36486.281,21385.600,46549.898,29.055,6.221
95,3.651,51091.096,35829.000,65535.000,33.690,5.446
96,4.746,50483.962,41875.750,58370.090,-43.264,7.053
97,6.895,56003.371,45861.789,65535.000,22.380,11.075
98,5.443,57028.262,47735.500,65535.000,4.086,8.455
99,6.895,54743.899,43803.988,65535.000,26.565,10.776
100,4.718,55179.063,47097.500,65535.000,-124.992,7.353
101,6.169,57320.335,43425.039,65535.000,-108.435,9.525
102,4.718,54191.218,39503.582,65535.000,48.366,7.254
103,4.718,57320.769,44890.168,65535.000,-30.964,7.025
104,3.629,65535.000,65535.000,65535.000,0.000,5.422
105,6.895,52250.194,43020.371,65535.000,-38.157,10.726
106,6.169,56061.529,43658.500,65535.000,-29.745,9.714
107,5.806,56895.137,48447.480,65535.000,-164.055,8.771
108,7.984,55604.632,45666.145,65535.000,27.759,12.934
109,4.718,56966.820,45191.500,65535.000,-9.462,7.329
110,5.081,53275.818,42462.586,65535.000,26.565,8.082
111,5.081,57047.934,44267.770,65535.000,-4.399,7.854
112,3.629,53987.742,42478.344,65535.000,-57.995,5.683
113,4.355,53493.587,39069.926,65535.000,-123.690,6.516
114,4.718,52735.115,39582.250,65535.000,-41.634,7.254
115,3.629,54338.518,43994.199,65535.000,32.005,5.683
116,4.355,53983.306,42271.246,65535.000,-146.310,6.516
117,5.081,54067.150,45766.527,65535.000,-38.660,7.715
118,5.443,54612.708,41047.398,65535.000,-53.973,8.194
119,3.629,55000.837,42416.531,65535.000,-116.565,5.388
120,5.081,55376.134,47496.840,65535.000,-38.660,7.715
121,4.718,65535.000,65535.000,65535.000,0.000,7.229
122,6.169,41655.850,24927.225,58520.680,56.310,9.774
123,4.718,54511.608,44420.918,65535.000,-22.249,7.160
124,5.806,35785.987,18486.986,52900.004,51.953,8.797
125,7.621,54309.906,41975.500,65535.000,2.936,11.762
126,4.718,56920.038,48031.500,65535.000,-4.970,6.954
127,5.081,51383.787,39871.617,62837.895,-28.610,7.548
128,4.355,51070.786,37910.879,64014.879,-15.945,6.578
129,5.081,48012.437,32746.455,60193.738,-28.610,7.548
130,5.806,57144.857,45069.602,65535.000,-66.801,9.176
131,5.806,52577.181,43183.500,64133.965,-13.134,9.279
132,5.081,49349.174,37859.750,64069.168,-18.435,7.620
133,3.266,43445.255,28816.000,54943.844,21.801,4.866
134,5.806,47419.164,28441.400,65535.000,-131.009,9.181
135,5.443,48244.732,32150.178,65535.000,23.749,8.227
136,4.718,50554.169,32719.916,65535.000,33.024,7.185
137,5.443,57110.649,47587.500,65535.000,-85.764,8.155
138,4.355,51457.068,41491.426,63837.457,-37.405,6.446
139,7.713,51605.913,34211.648,63849.699,55.905,11.893
140,4.408,55135.071,48051.887,65535.000,23.703,6.784
141,5.142,52196.303,38079.133,65535.000,3.302,7.892
142,6.244,54084.792,38630.625,65535.000,-21.801,9.791
143,4.408,50771.451,37041.410,63406.699,-14.036,6.664
144,7.713,53590.160,33599.668,65041.910,-92.816,12.338
145,2.938,49626.816,39727.500,57977.172,-50.711,4.307
146,4.408,43783.057,28964.566,55550.039,-37.875,6.910
147,5.142,49421.242,39219.105,65535.000,-46.548,7.931
148,3.673,52248.087,42045.203,65535.000,-112.380,5.571
149,4.040,53718.804,30999.750,65535.000,-8.531,6.128
150,5.142,53534.025,40999.000,65535.000,15.068,8.159
151,4.775,43175.007,29735.834,59792.500,-9.462,7.373
152,5.510,45368.106,38529.070,48695.500,-45.000,8.571
153,5.510,55876.029,47923.695,65535.000,-56.310,8.741
154,4.040,35768.578,26156.305,47477.930,50.906,6.247
155,5.142,39239.410,26999.197,49472.828,62.447,7.861
156,5.142,41155.790,25732.703,65535.000,45.000,8.142
157,5.142,50915.040,33711.523,65535.000,-70.201,8.052
158,4.775,47824.183,32770.043,65535.000,38.290,7.336
159,4.408,41819.836,27319.711,65535.000,-113.199,6.923
160,2.571,46829.596,30509.166,59303.168,18.435,3.833
161,5.510,47434.469,31542.643,62565.930,-81.870,8.571
162,3.613,55753.432,43782.555,65535.000,-77.471,8.040
163,3.232,55537.557,46646.734,65535.000,-21.801,7.045
164,2.852,52454.271,43161.613,65535.000,-45.000,6.167
165,3.422,65535.000,65535.000,65535.000,-90.000,7.413
166,2.852,55195.462,40628.430,65535.000,-21.038,6.073
167,3.613,56042.811,44893.109,65535.000,-109.440,7.861
168,3.422,53690.348,38939.414,65535.000,-72.646,7.309
169,1.711,53736.500,44435.500,65535.000,-45.000,3.700
170,3.422,52187.692,41420.238,65535.000,32.735,7.257
171,3.422,52438.253,41335.527,65535.000,-45.000,7.400
172,2.282,51785.022,39300.164,65535.000,-26.565,4.875
173,3.613,51721.454,42119.500,65535.000,45.000,8.017
174,2.282,54663.493,41973.727,65535.000,-21.801,4.696
175,3.613,52680.822,38426.168,65535.000,33.690,7.861
176,3.993,50672.958,42149.324,65535.000,49.086,8.655
177,3.422,55876.517,44679.000,65535.000,-93.366,7.426
178,4.373,52251.792,41870.742,65535.000,-26.565,9.750
179,4.373,54810.853,43346.363,65535.000,-76.608,9.413
