 ,Area,Mean,Min,Max,Angle,Length
1,5.680,52483.326,42366.008,65535.000,38.660,8.157
2,4.868,54465.342,42279.719,65535.000,-63.435,7.121
3,8.520,48815.206,30317.971,65535.000,-102.995,12.747
4,8.114,54596.186,39530.746,65535.000,-7.696,11.891
5,5.274,50719.090,38122.500,60921.832,-59.036,7.428
6,6.085,53364.613,40251.750,65535.000,-28.443,8.693
7,8.520,48995.708,30254.186,65535.000,-19.359,12.490
8,5.274,46198.686,33867.875,60500.723,9.866,7.435
9,4.463,52993.682,44080.809,64204.457,23.199,6.468
10,6.897,59239.175,57631.750,60188.945,0.000,10.191
11,4.868,52173.505,36639.172,64931.219,3.366,7.231
12,3.651,44117.049,36110.688,55255.250,26.565,4.985
13,5.680,47539.606,31809.631,65535.000,25.560,8.119
14,5.274,49388.688,42852.438,62063.082,-43.363,7.885
15,4.057,51678.860,39119.859,63397.426,-8.130,6.005
16,5.274,44867.944,39167.250,56101.082,36.384,7.516
17,6.491,49949.564,41007.980,57568.738,26.565,9.258
18,4.868,54522.539,45529.234,63826.812,-64.654,6.695
19,5.680,43408.262,30045.762,51131.801,23.499,7.987
20,4.868,48559.725,30632.281,65535.000,-25.346,6.695
21,8.520,56431.424,44629.500,65535.000,8.746,12.567
22,7.708,55925.100,45799.500,64598.535,1.637,11.151
23,8.520,49575.975,36774.461,62586.387,-47.045,12.619
24,4.463,64102.318,49775.500,65535.000,0.000,6.369
25,4.463,56029.232,42831.602,65535.000,8.531,6.441
26,4.868,52759.134,42613.047,65535.000,7.765,7.071
27,3.651,45565.441,31308.000,54847.500,14.931,4.944
28,6.169,51618.903,42000.207,61867.359,-58.627,9.643
29,5.081,52861.441,43045.492,65162.602,-60.255,8.095
30,6.169,50200.050,30722.500,63433.582,53.616,9.478
31,4.355,57280.546,47211.137,65535.000,-95.194,6.654
32,3.266,46636.194,32912.000,55095.500,-39.806,4.705
33,3.992,64247.773,51375.500,65535.000,0.000,6.024
34,2.903,36937.360,24963.193,51663.500,-155.225,4.313
35,2.540,50211.065,34063.750,60097.832,-48.366,3.627
36,5.081,55962.384,46313.875,65535.000,-4.574,7.554
37,3.629,54577.167,46124.832,65535.000,-18.435,5.715
38,3.629,58000.800,51802.000,65535.000,-18.435,5.715
39,4.718,55868.944,44173.250,65535.000,-70.017,7.051
40,5.806,55081.343,40927.750,65535.000,-9.782,8.864
41,3.266,50707.674,38994.062,65535.000,3.814,4.528
42,6.169,48876.426,35895.938,63675.562,-3.576,9.657
43,4.718,52176.821,36543.668,65535.000,2.386,7.235
44,3.992,57316.028,42647.500,65535.000,-5.711,6.054
45,3.992,56783.938,49264.199,65535.000,-36.870,6.024
46,4.718,55805.405,47261.500,65535.000,-55.008,7.353
47,5.806,56842.528,46121.465,65535.000,-70.346,8.955
48,5.081,56526.636,49579.895,65535.000,-57.529,7.854
49,4.355,55902.743,45405.711,65535.000,37.875,6.868
50,7.984,52337.374,39974.668,65535.000,-48.814,12.807
51,2.540,65535.000,65535.000,65535.000,-90.000,3.614
52,6.895,50526.726,35854.957,64856.797,24.702,11.051
