Sample1,,
Wavelength (nm),Intensity (a.u.),
284.9200134,22.87363052,
285.8399963,26.29873657,
286.9200134,32.91680527,
287.8399963,39.02059555,
288.9200134,45.58147049,
289.8399963,53.06703949,
290.9299927,59.30319977,
291.8699951,65.99176025,
292.9599915,72.56624603,
293.8999939,77.87931061,
294.8399963,83.94555664,
295.9299927,90.8760376,
296.8699951,94.10829926,
297.9599915,99.97380829,
298.8999939,104.2806396,
299.8399963,108.047348,
300.9200134,111.9541397,
301.8399963,113.700737,
302.9200134,118.2530212,
303.8399963,118.7409286,
304.9200134,119.5367584,
305.8399963,119.8854752,
306.9200134,119.0026093,
307.8399963,117.6320343,
308.9200134,115.0762558,
309.8399963,112.844635,
310.9200134,110.3481369,
311.8399963,108.1343002,
312.9200134,105.5602493,
313.8399963,103.2413712,
314.9200134,100.9403229,
315.8399963,98.28285217,
316.9200134,94.84043121,
317.8399963,93.14958954,
318.9200134,88.70507813,
319.8399963,85.78275299,
320.9200134,83.38691711,
321.8399963,82.26447296,
322.9200134,78.22090149,
323.8399963,76.70010376,
324.9200134,72.60658264,
325.8399963,70.01399994,
326.9200134,68.40395355,
327.8399963,65.85101318,
328.9200134,63.8620491,
329.8399963,61.75157928,
330.9200134,60.24851227,
331.8399963,58.8247757,
332.9200134,55.79785156,
333.8399963,54.65376663,
334.9200134,51.99510956,
335.8399963,50.09399414,
336.9200134,48.39682007,
337.8399963,47.54550934,
338.9200134,45.66628265,
339.8399963,44.14350891,
340.9200134,42.63308334,
341.8399963,41.50638962,
342.9200134,38.98291016,
343.8399963,38.81162262,
344.9200134,36.91237259,
345.8399963,36.60692978,
346.9200134,35.2259407,
347.8399963,34.27556229,
348.9200134,33.09127045,
349.8399963,32.16109467,
350.9200134,30.96562195,
351.8399963,30.6626091,
352.9200134,29.5702095,
353.8399963,28.7796402,
354.9200134,27.75734711,
355.8399963,27.27707863,
356.9200134,26.22595406,
357.8399963,25.08554459,
358.9200134,24.05188942,
359.8399963,23.77919769,
360.9200134,23.29780388,
361.8399963,22.41277504,
362.9200134,21.53368759,
363.8399963,21.05801582,
364.9200134,19.48211098,
365.8399963,19.42369843,
366.9200134,18.54506493,
367.8399963,17.82513046,
368.9200134,16.70293045,
369.8399963,17.13899231,
370.8999939,15.94989204,
371.9599915,15.5485754,
372.8699951,14.70667458,
373.9299927,14.94818878,
374.8399963,14.54472828,
375.8999939,14.09255123,
376.9599915,13.222826,
377.8699951,13.18314266,
378.9299927,12.80504417,
379.8399963,12.02523804,
380.9200134,11.49359417,

