Sample1,,
Wavelength (nm),Intensity (a.u.),
284.9200134,25.56540871,
285.8399963,29.06468201,
286.9200134,34.8504715,
287.8399963,40.75216293,
288.9200134,48.64118958,
289.8399963,55.70729828,
290.9299927,62.62866974,
291.8699951,68.54637146,
292.9599915,75.08252716,
293.8999939,80.86292267,
294.8399963,87.28347015,
295.9299927,93.29009247,
296.8699951,98.40587616,
297.9599915,103.462204,
298.8999939,107.7569885,
299.8399963,112.8725052,
300.9200134,116.608078,
301.8399963,119.1123886,
302.9200134,123.373703,
303.8399963,124.6558304,
304.9200134,125.1419907,
305.8399963,125.2416534,
306.9200134,124.0493622,
307.8399963,123.6131134,
308.9200134,120.4541779,
309.8399963,118.3583527,
310.9200134,115.385704,
311.8399963,114.3707199,
312.9200134,110.7818146,
313.8399963,108.7579117,
314.9200134,106.038063,
315.8399963,102.9597626,
316.9200134,98.99503326,
317.8399963,96.2776413,
318.9200134,93.35294342,
319.8399963,90.28456116,
320.9200134,87.18475342,
321.8399963,84.79747009,
322.9200134,82.15353394,
323.8399963,79.49720764,
324.9200134,76.20884705,
325.8399963,73.4528656,
326.9200134,70.31362915,
327.8399963,68.6400528,
328.9200134,66.37528992,
329.8399963,64.02423859,
330.9200134,61.52325058,
331.8399963,59.39650726,
332.9200134,57.79723358,
333.8399963,56.43762207,
334.9200134,53.74451447,
335.8399963,52.2616272,
336.9200134,50.01280975,
337.8399963,48.78564453,
338.9200134,46.99570465,
339.8399963,45.83710098,
340.9200134,43.86582184,
341.8399963,42.3691864,
342.9200134,41.08820724,
343.8399963,39.70289993,
344.9200134,37.93238831,
345.8399963,36.62105179,
346.9200134,35.86396408,
347.8399963,34.73313522,
348.9200134,33.80925751,
349.8399963,32.59735107,
350.9200134,31.64911652,
351.8399963,31.24782372,
352.9200134,30.14760399,
353.8399963,29.26612282,
354.9200134,27.76610565,
355.8399963,27.17430878,
356.9200134,26.31173706,
357.8399963,25.43178749,
358.9200134,24.53713608,
359.8399963,24.08902168,
360.9200134,22.58193588,
361.8399963,22.34736633,
362.9200134,21.69015121,
363.8399963,20.91544533,
364.9200134,20.14497566,
365.8399963,19.62992096,
366.9200134,18.50138092,
367.8399963,18.28388214,
368.9200134,17.33351898,
369.8399963,17.00122833,
370.8999939,16.31681442,
371.9599915,16.02809715,
372.8699951,15.45350075,
373.9299927,14.63590431,
374.8399963,14.03972912,
375.8999939,13.95274925,
376.9599915,13.56007671,
377.8699951,12.96320724,
378.9299927,12.54998875,
379.8399963,11.8286829,
380.9200134,11.45149136,

