Sample1,,
Wavelength (nm),Intensity (a.u.),
284.9200134,23.39886475,
285.8399963,26.81527901,
286.9200134,33.20559311,
287.8399963,39.39436722,
288.9200134,46.33233643,
289.8399963,52.69816971,
290.9299927,59.75572586,
291.8699951,65.0032959,
292.9599915,72.15172577,
293.8999939,77.95115662,
294.8399963,84.45472717,
295.9299927,89.48283386,
296.8699951,93.96708679,
297.9599915,99.18255615,
298.8999939,104.3534317,
299.8399963,108.6489182,
300.9200134,112.2464218,
301.8399963,115.4707108,
302.9200134,118.1044083,
303.8399963,119.7205658,
304.9200134,121.6244125,
305.8399963,120.9499054,
306.9200134,120.5086517,
307.8399963,119.6664581,
308.9200134,116.8427429,
309.8399963,115.7334595,
310.9200134,111.7412262,
311.8399963,108.9288406,
312.9200134,106.5432053,
313.8399963,102.7427368,
314.9200134,100.4889069,
315.8399963,96.72244263,
316.9200134,95.6893692,
317.8399963,92.97149658,
318.9200134,89.98521423,
319.8399963,86.93188477,
320.9200134,84.45311737,
321.8399963,80.61073303,
322.9200134,78.3816452,
323.8399963,76.25028229,
324.9200134,73.14103699,
325.8399963,70.414711,
326.9200134,67.15663147,
327.8399963,65.84519958,
328.9200134,62.86860275,
329.8399963,59.82386398,
330.9200134,58.13158035,
331.8399963,56.2268219,
332.9200134,55.05841446,
333.8399963,53.286129,
334.9200134,50.83065414,
335.8399963,49.4344635,
336.9200134,47.34485626,
337.8399963,45.68557358,
338.9200134,44.00901413,
339.8399963,42.48503113,
340.9200134,41.78579712,
341.8399963,39.65780258,
342.9200134,37.74686432,
343.8399963,36.67187119,
344.9200134,35.58501053,
345.8399963,34.72019196,
346.9200134,33.11729813,
347.8399963,31.87828445,
348.9200134,31.66014671,
349.8399963,30.42144394,
350.9200134,29.64546204,
351.8399963,28.9726162,
352.9200134,27.52742577,
353.8399963,26.31256485,
354.9200134,25.70854568,
355.8399963,24.62143135,
356.9200134,24.02878761,
357.8399963,24.2434864,
358.9200134,23.02799988,
359.8399963,21.98052597,
360.9200134,21.67345619,
361.8399963,20.6835537,
362.9200134,20.28214836,
363.8399963,19.14123726,
364.9200134,18.35416603,
365.8399963,17.8950634,
366.9200134,17.18805695,
367.8399963,16.87742233,
368.9200134,16.11483002,
369.8399963,15.58952808,
370.8999939,14.94641209,
371.9599915,14.41035175,
372.8699951,14.4457016,
373.9299927,13.73444271,
374.8399963,13.34667778,
375.8999939,12.83214569,
376.9599915,12.76911068,
377.8699951,12.35729504,
378.9299927,11.22920322,
379.8399963,11.50775909,
380.9200134,10.47477818,

