Sample1,,
Wavelength (nm),Intensity (a.u.),
284.9200134,21.21755791,
285.8399963,24.3297596,
286.9200134,30.28280067,
287.8399963,35.49161911,
288.9200134,41.75259781,
289.8399963,48.50016022,
290.9299927,54.269104,
291.8699951,58.71345901,
292.9599915,65.15045166,
293.8999939,70.42182159,
294.8399963,76.1756897,
295.9299927,81.89803314,
296.8699951,85.73672485,
297.9599915,90.79108429,
298.8999939,93.89551544,
299.8399963,98.17425537,
300.9200134,101.9359741,
301.8399963,104.0091629,
302.9200134,107.2220764,
303.8399963,109.2342987,
304.9200134,109.2730865,
305.8399963,109.4472656,
306.9200134,109.9750595,
307.8399963,108.2720337,
308.9200134,107.3439331,
309.8399963,105.314209,
310.9200134,103.0933838,
311.8399963,101.3884277,
312.9200134,98.25024414,
313.8399963,96.31848145,
314.9200134,93.60973358,
315.8399963,90.43050385,
316.9200134,89.02566528,
317.8399963,86.7596817,
318.9200134,83.70246887,
319.8399963,81.71234894,
320.9200134,79.00783539,
321.8399963,76.48587036,
322.9200134,75.67055511,
323.8399963,72.94100189,
324.9200134,69.83535767,
325.8399963,67.6005249,
326.9200134,64.94576263,
327.8399963,63.83155441,
328.9200134,62.31687164,
329.8399963,59.33552551,
330.9200134,58.33288193,
331.8399963,56.32806396,
332.9200134,54.12308884,
333.8399963,52.76354218,
334.9200134,51.25141525,
335.8399963,49.52959061,
336.9200134,48.21009064,
337.8399963,46.94301605,
338.9200134,45.50592422,
339.8399963,44.63409042,
340.9200134,42.76075363,
341.8399963,41.24664688,
342.9200134,39.89280319,
343.8399963,38.33765411,
344.9200134,37.41405106,
345.8399963,36.58883667,
346.9200134,35.88702774,
347.8399963,34.63731766,
348.9200134,33.35299301,
349.8399963,32.98834991,
350.9200134,31.90790558,
351.8399963,30.55265617,
352.9200134,30.38915634,
353.8399963,29.09864616,
354.9200134,28.19244385,
355.8399963,27.90299988,
356.9200134,26.15670776,
357.8399963,25.32670403,
358.9200134,24.90400314,
359.8399963,23.94186211,
360.9200134,23.02880096,
361.8399963,22.36952209,
362.9200134,21.7505188,
363.8399963,21.10073471,
364.9200134,20.41523361,
365.8399963,20.1153965,
366.9200134,18.91526413,
367.8399963,18.13344574,
368.9200134,17.91990852,
369.8399963,17.2381382,
370.8999939,16.48415184,
371.9599915,15.66889286,
372.8699951,15.25742912,
373.9299927,15.06248856,
374.8399963,13.98192883,
375.8999939,14.30070591,
376.9599915,13.61952019,
377.8699951,12.81788731,
378.9299927,12.71994781,
379.8399963,12.7136507,
380.9200134,11.72183514,

