Sample1,,
Wavelength (nm),Intensity (a.u.),
284.9200134,24.19393158,
285.8399963,27.82740211,
286.9200134,34.19814682,
287.8399963,41.02994919,
288.9200134,48.36914825,
289.8399963,55.74328995,
290.9299927,63.0718689,
291.8699951,69.60884857,
292.9599915,76.38879395,
293.8999939,82.06472778,
294.8399963,88.19999695,
295.9299927,94.87388611,
296.8699951,99.62944794,
297.9599915,105.6897964,
298.8999939,109.0335922,
299.8399963,114.2804947,
300.9200134,117.3877945,
301.8399963,120.9951096,
302.9200134,123.4262543,
303.8399963,125.4835129,
304.9200134,126.8346939,
305.8399963,126.7668762,
306.9200134,125.1061859,
307.8399963,125.579071,
308.9200134,122.4830322,
309.8399963,119.5820923,
310.9200134,116.8658981,
311.8399963,115.2947998,
312.9200134,112.1750488,
313.8399963,109.0620499,
314.9200134,106.0004807,
315.8399963,102.4153976,
316.9200134,99.2437973,
317.8399963,96.41133118,
318.9200134,93.58479309,
319.8399963,91.12870026,
320.9200134,88.13447571,
321.8399963,85.60048676,
322.9200134,82.10372925,
323.8399963,78.88834381,
324.9200134,76.67341614,
325.8399963,73.24214172,
326.9200134,70.95262909,
327.8399963,69.36971283,
328.9200134,65.59259033,
329.8399963,64.13529205,
330.9200134,61.29808807,
331.8399963,59.56784821,
332.9200134,57.38122177,
333.8399963,56.00067139,
334.9200134,53.57181549,
335.8399963,51.83767319,
336.9200134,49.59659195,
337.8399963,49.32780075,
338.9200134,46.52174377,
339.8399963,45.56453705,
340.9200134,44.40407944,
341.8399963,42.00915146,
342.9200134,40.73133087,
343.8399963,39.82245255,
344.9200134,38.0259819,
345.8399963,37.03380585,
346.9200134,35.70157242,
347.8399963,34.62669373,
348.9200134,33.23854828,
349.8399963,32.65076065,
350.9200134,31.23270035,
351.8399963,30.53974724,
352.9200134,29.39203072,
353.8399963,28.6043129,
354.9200134,27.23404121,
355.8399963,26.10785103,
356.9200134,25.48864174,
357.8399963,24.75307465,
358.9200134,23.95639229,
359.8399963,23.73023224,
360.9200134,22.50550842,
361.8399963,21.80396461,
362.9200134,20.85964775,
363.8399963,20.51630592,
364.9200134,19.57126236,
365.8399963,18.9078598,
366.9200134,18.19995689,
367.8399963,17.40844345,
368.9200134,16.82383919,
369.8399963,16.20513153,
370.8999939,15.91483688,
371.9599915,15.56440258,
372.8699951,14.9119873,
373.9299927,14.16262531,
374.8399963,14.04837227,
375.8999939,13.48531437,
376.9599915,13.03660583,
377.8699951,12.63394737,
378.9299927,12.4238863,
379.8399963,11.82934856,
380.9200134,11.3955965,

