Sample1,,
Wavelength (nm),Intensity (a.u.),
284.9200134,4.260684967,
285.8399963,3.577543497,
286.9200134,3.27777195,
287.8399963,3.273773432,
288.9200134,3.293441534,
289.8399963,3.18201685,
290.9299927,3.061724424,
291.8699951,3.076633692,
292.9599915,3.073884487,
293.8999939,3.127459526,
294.8399963,3.224827528,
295.9299927,3.087589264,
296.8699951,3.284431696,
297.9599915,3.627645969,
298.8999939,4.182747364,
299.8399963,4.912228107,
300.9200134,5.751227856,
301.8399963,6.618806839,
302.9200134,7.597773552,
303.8399963,8.164165497,
304.9200134,8.486433029,
305.8399963,8.170981407,
306.9200134,7.836445332,
307.8399963,7.040855885,
308.9200134,6.275817871,
309.8399963,5.460617542,
310.9200134,5.000071526,
311.8399963,4.369791508,
312.9200134,4.110920906,
313.8399963,3.967630148,
314.9200134,3.768035412,
315.8399963,3.870977879,
316.9200134,3.807839155,
317.8399963,3.927611828,
318.9200134,3.530880928,
319.8399963,3.889002562,
320.9200134,3.843531847,
321.8399963,3.845670223,
322.9200134,3.99574542,
323.8399963,3.704329967,
324.9200134,4.007353306,
325.8399963,3.89788723,
326.9200134,4.014639378,
327.8399963,3.719447374,
328.9200134,3.990586281,
329.8399963,3.733524561,
330.9200134,3.852592468,
331.8399963,3.668255329,
332.9200134,3.840800524,
333.8399963,3.730667591,
334.9200134,3.867220402,
335.8399963,3.788559437,
336.9200134,3.80236721,
337.8399963,3.898303747,
338.9200134,3.732353687,
339.8399963,3.898023129,
340.9200134,3.82189393,
341.8399963,3.706311941,
342.9200134,3.518993139,
343.8399963,3.472600698,
344.9200134,3.375348091,
345.8399963,3.371467352,
346.9200134,3.410544157,
347.8399963,3.317744732,
348.9200134,3.369951248,
349.8399963,3.439799547,
350.9200134,3.256538868,
351.8399963,3.183023691,
352.9200134,3.26697731,
353.8399963,3.188515663,
354.9200134,3.120524645,
355.8399963,2.995450258,
356.9200134,2.867432356,
357.8399963,2.902650833,
358.9200134,2.814908743,
359.8399963,2.72898221,
360.9200134,2.764658451,
361.8399963,2.599348307,
362.9200134,2.574391842,
363.8399963,2.569696665,
364.9200134,2.490227699,
365.8399963,2.566366434,
366.9200134,2.396818876,
367.8399963,2.513803482,
368.9200134,2.248875618,
369.8399963,2.253041983,
370.8999939,2.238029957,
371.9599915,2.132084846,
372.8699951,2.129533768,
373.9299927,2.027586699,
374.8399963,2.05654788,
375.8999939,2.032372236,
376.9599915,1.995690346,
377.8699951,1.893133044,
378.9299927,1.767881513,
379.8399963,1.773137331,
380.9200134,1.780011058,

